Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 02/04/2017,	Time = 11:31,	
Latitude = 39 55.22  S,	Longitude = 011 59.01  E
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 254,	Wind Speed = 38.50
Dry Bulb Temp = 11.60,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
0.67,	13.8200
1.34,	14.1100
2.01,	14.1300
2.68,	14.2100
3.34,	14.2100
4.01,	14.2100
4.68,	14.2100
5.35,	14.2100
6.02,	14.2100
6.69,	14.2100
7.36,	14.2000
8.03,	14.2100
8.69,	14.2100
9.36,	14.2100
10.03,	14.2100
10.70,	14.2100
11.37,	14.2100
12.04,	14.2200
12.70,	14.2200
13.37,	14.2200
14.04,	14.2200
14.71,	14.2200
15.38,	14.2100
16.05,	14.2000
16.71,	14.2000
17.38,	14.2100
18.05,	14.2100
18.72,	14.2000
19.38,	14.2100
20.05,	14.2000
20.72,	14.2000
21.39,	14.2100
22.06,	14.2200
22.72,	14.2100
23.39,	14.2000
24.06,	14.2100
24.73,	14.2100
25.39,	14.2100
26.06,	14.2100
26.73,	14.2000
27.40,	14.2000
28.06,	14.1900
28.73,	14.1700
29.40,	14.1700
30.06,	14.1800
30.73,	14.1800
31.40,	14.1900
32.06,	14.1800
32.73,	14.1100
33.40,	14.0500
34.07,	13.9500
34.73,	13.7400
35.40,	13.5100
36.07,	13.2500
36.73,	13.0600
37.40,	12.9600
38.07,	12.8900
38.73,	12.7800
39.40,	12.6900
40.06,	12.6100
40.73,	12.5600
41.40,	12.5400
42.06,	12.5200
42.73,	12.5000
43.40,	12.4800
44.06,	12.4400
44.73,	12.3700
45.39,	12.3300
46.06,	12.3000
46.73,	12.3000
47.39,	12.3000
48.06,	12.3200
48.72,	12.2800
49.39,	12.1900
50.06,	12.1000
50.72,	12.0400
51.39,	12.0000
52.05,	11.9600
52.72,	11.9300
53.38,	11.9000
54.05,	11.8800
54.71,	11.8800
55.38,	11.8800
56.05,	11.8700
56.71,	11.8700
57.38,	11.8600
58.04,	11.8200
58.71,	11.7800
59.37,	11.7500
60.04,	11.7400
60.70,	11.7200
61.37,	11.7200
62.03,	11.7200
62.70,	11.7000
63.36,	11.6600
64.03,	11.6100
64.69,	11.5500
65.36,	11.5000
66.02,	11.4600
66.69,	11.4400
67.35,	11.4300
68.01,	11.4400
68.68,	11.4300
69.34,	11.4200
70.01,	11.3900
70.67,	11.3300
71.34,	11.3100
72.00,	11.2800
72.66,	11.2500
73.33,	11.2300
73.99,	11.2000
74.66,	11.1800
75.32,	11.1800
75.98,	11.1900
76.65,	11.1800
77.31,	11.1800
77.98,	11.2000
78.64,	11.2400
79.30,	11.2400
79.97,	11.2100
80.63,	11.1600
81.30,	11.1300
81.96,	11.1400
82.62,	11.1900
83.29,	11.2100
83.95,	11.2100
84.61,	11.2200
85.28,	11.2200
85.94,	11.2600
86.60,	11.4300
87.27,	11.5500
87.93,	11.5700
88.59,	11.5500
89.26,	11.5400
89.92,	11.5300
90.58,	11.5100
91.24,	11.4900
91.91,	11.4800
92.57,	11.4700
93.23,	11.4500
93.90,	11.4500
94.56,	11.5100
95.22,	11.5500
95.88,	11.5500
96.55,	11.5600
97.21,	11.6200
97.87,	11.7400
98.53,	11.7900
99.20,	11.7900
99.86,	11.7900
100.52,	11.7900
101.18,	11.7800
101.85,	11.7100
102.51,	11.6600
103.17,	11.6400
103.83,	11.6300
104.49,	11.6300
105.16,	11.6200
105.82,	11.6200
106.48,	11.6200
107.14,	11.6500
107.80,	11.7200
108.47,	11.7500
109.13,	11.7700
109.79,	11.7600
110.45,	11.7600
111.11,	11.7600
111.77,	11.7700
112.44,	11.7700
113.10,	11.7600
113.76,	11.7600
114.42,	11.7500
115.08,	11.7300
115.74,	11.6900
116.40,	11.6600
117.06,	11.6400
117.73,	11.6200
118.39,	11.6100
119.05,	11.5700
119.71,	11.5300
120.37,	11.5000
121.03,	11.4900
121.69,	11.4900
122.35,	11.4800
123.01,	11.4500
123.67,	11.4300
124.33,	11.3900
125.00,	11.3700
125.66,	11.3600
126.32,	11.3600
126.98,	11.3600
127.64,	11.3600
128.30,	11.3800
128.96,	11.4100
129.62,	11.4500
130.28,	11.4400
130.94,	11.3900
131.60,	11.3400
132.26,	11.2900
132.92,	11.2700
133.58,	11.2600
134.24,	11.2800
134.90,	11.3100
135.56,	11.3300
136.22,	11.3300
136.88,	11.3300
137.54,	11.3300
138.20,	11.3300
138.86,	11.3300
139.52,	11.3300
140.18,	11.3300
140.84,	11.3100
141.50,	11.3200
142.16,	11.3100
142.82,	11.3000
143.48,	11.3100
144.14,	11.3000
144.79,	11.2900
145.45,	11.2800
146.11,	11.2500
146.77,	11.2300
147.43,	11.2000
148.09,	11.1800
148.75,	11.1700
149.41,	11.1400
150.07,	11.1300
150.73,	11.1100
151.39,	11.1000
152.04,	11.0800
152.70,	11.0600
153.36,	11.0400
154.02,	11.0300
154.68,	11.0400
155.34,	11.0400
156.00,	11.0400
156.65,	11.0200
157.31,	10.9800
157.97,	10.9500
158.63,	10.9200
159.29,	10.9000
159.95,	10.9000
160.60,	10.9000
161.26,	10.9000
161.92,	10.8800
162.58,	10.8800
163.24,	10.8800
163.90,	10.8800
164.55,	10.8100
165.21,	10.6800
165.87,	10.6100
166.53,	10.5900
167.18,	10.5900
167.84,	10.5900
168.50,	10.5500
169.16,	10.4600
169.82,	10.4300
170.47,	10.3900
171.13,	10.2800
171.79,	10.1900
172.44,	10.1600
173.10,	10.1500
173.76,	10.1300
174.42,	10.1300
175.07,	10.1100
175.73,	10.0800
176.39,	10.0800
177.05,	10.0700
177.70,	10.0600
178.36,	10.0500
179.02,	10.0400
179.67,	10.0300
180.33,	10.0100
180.99,	9.9700
181.64,	9.9400
182.30,	9.9200
182.96,	9.9100
183.61,	9.9100
184.27,	9.9100
184.93,	9.9000
185.58,	9.9000
186.24,	9.9100
186.90,	9.9100
187.55,	9.9000
188.21,	9.8900
188.87,	9.8800
189.52,	9.8700
190.18,	9.8500
190.83,	9.8200
191.49,	9.8000
192.15,	9.7900
192.80,	9.7900
193.46,	9.7900
194.11,	9.8000
194.77,	9.8200
195.43,	9.8700
196.08,	9.9000
196.74,	9.9200
197.39,	9.9700
198.05,	9.9900
198.70,	10.0100
199.36,	10.0100
200.02,	10.0100
200.67,	10.0200
201.33,	10.0300
201.98,	10.0400
202.64,	10.0500
203.29,	10.0600
203.95,	10.0500
204.60,	10.0300
205.26,	9.9900
205.91,	9.9600
206.57,	9.9400
207.22,	9.9300
207.88,	9.9300
208.53,	9.9200
209.19,	9.9100
209.84,	9.9000
210.50,	9.8900
211.15,	9.8800
211.81,	9.8700
212.46,	9.8400
213.12,	9.8200
213.77,	9.8000
214.43,	9.8100
215.08,	9.8200
215.74,	9.8100
216.39,	9.8000
217.04,	9.7900
217.70,	9.7900
218.35,	9.7900
219.01,	9.7800
219.66,	9.7700
220.32,	9.7600
220.97,	9.7500
221.62,	9.7400
222.28,	9.7300
222.93,	9.7300
223.59,	9.7200
224.24,	9.7100
224.89,	9.7000
225.55,	9.7000
226.20,	9.7000
226.85,	9.7000
227.51,	9.7000
228.16,	9.6800
228.81,	9.6600
229.47,	9.6500
230.12,	9.6400
230.78,	9.6400
231.43,	9.6300
232.08,	9.6200
232.74,	9.6200
233.39,	9.6100
234.04,	9.6000
234.69,	9.6000
235.35,	9.5900
236.00,	9.5800
236.65,	9.5800
237.31,	9.5700
237.96,	9.5700
238.61,	9.5700
239.27,	9.5700
239.92,	9.5700
240.57,	9.5800
241.22,	9.5800
241.88,	9.5700
242.53,	9.5600
243.18,	9.5500
243.83,	9.5500
244.49,	9.5500
245.14,	9.5400
245.79,	9.5300
246.44,	9.5200
247.10,	9.5100
247.75,	9.5000
248.40,	9.4900
249.05,	9.4900
249.70,	9.4700
250.36,	9.4700
251.01,	9.4700
251.66,	9.4600
252.31,	9.4600
252.96,	9.4500
253.62,	9.4500
254.27,	9.4400
254.92,	9.4400
255.57,	9.4300
256.22,	9.4200
256.88,	9.4100
257.53,	9.4000
258.18,	9.4000
258.83,	9.3900
259.48,	9.3600
260.13,	9.3400
260.78,	9.3300
261.44,	9.3200
262.09,	9.3100
262.74,	9.3000
263.39,	9.2900
264.04,	9.2800
264.69,	9.2800
265.34,	9.2600
265.99,	9.2400
266.64,	9.2300
267.29,	9.2200
267.95,	9.2200
268.60,	9.2100
269.25,	9.2100
269.90,	9.2000
270.55,	9.2000
271.20,	9.2000
271.85,	9.1900
272.50,	9.1800
273.15,	9.1700
273.80,	9.1600
274.45,	9.1500
275.10,	9.1300
275.75,	9.1300
276.40,	9.1200
277.05,	9.1100
277.70,	9.1100
278.35,	9.1100
279.00,	9.1000
279.65,	9.0900
280.30,	9.0900
280.95,	9.0800
281.60,	9.0700
282.25,	9.0700
282.90,	9.0700
283.55,	9.0600
284.20,	9.0500
284.85,	9.0600
285.50,	9.0500
286.15,	9.0500
286.80,	9.0500
287.45,	9.0500
288.10,	9.0500
288.75,	9.0500
289.40,	9.0400
290.05,	9.0400
290.70,	9.0400
291.35,	9.0300
292.00,	9.0400
292.64,	9.0400
293.29,	9.0400
293.94,	9.0500
294.59,	9.0500
295.24,	9.0600
295.89,	9.1300
296.54,	9.1900
297.19,	9.2000
297.84,	9.2000
298.49,	9.1900
299.13,	9.1900
299.78,	9.1900
300.43,	9.1900
301.08,	9.2100
301.73,	9.2200
302.38,	9.2200
303.02,	9.2200
303.67,	9.2300
304.32,	9.2200
304.97,	9.2200
305.62,	9.2200
306.27,	9.2300
306.91,	9.2300
307.56,	9.2200
308.21,	9.2100
308.86,	9.2100
309.51,	9.2100
310.15,	9.1900
310.80,	9.1700
311.45,	9.1500
312.10,	9.1400
312.75,	9.1300
313.39,	9.1200
314.04,	9.1000
314.69,	9.0900
315.34,	9.0700
315.98,	9.0600
316.63,	9.0500
317.28,	9.0500
317.93,	9.0400
318.57,	9.0400
319.22,	9.0300
319.87,	9.0100
320.52,	8.9800
321.16,	8.9700
321.81,	8.9600
322.46,	8.9400
323.10,	8.9200
323.75,	8.9100
324.40,	8.9000
325.04,	8.9000
325.69,	8.9000
326.34,	8.9100
326.99,	8.9100
327.63,	8.9100
328.28,	8.9100
328.93,	8.9000
329.57,	8.8800
