Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 01/31/2017,	Time = 17:10,	
Latitude = 52 55.02  S,	Longitude = 000 00.12  W
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 243,	Wind Speed = 21.00
Dry Bulb Temp = 2.30,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
0.67,	2.1800
1.34,	1.9700
2.01,	1.9000
2.68,	1.8700
3.34,	1.8700
4.01,	1.8600
4.68,	1.8500
5.35,	1.8400
6.02,	1.8400
6.69,	1.8500
7.36,	1.8600
8.03,	1.8700
8.69,	1.8700
9.36,	1.8700
10.03,	1.8600
10.70,	1.8600
11.37,	1.8600
12.04,	1.8500
12.70,	1.8400
13.37,	1.8400
14.04,	1.8400
14.71,	1.8500
15.38,	1.8500
16.05,	1.8500
16.71,	1.8400
17.38,	1.8400
18.05,	1.8400
18.72,	1.8400
19.38,	1.8400
20.05,	1.8400
20.72,	1.8400
21.39,	1.8400
22.06,	1.8300
22.72,	1.8400
23.39,	1.8400
24.06,	1.8400
24.73,	1.8300
25.39,	1.8300
26.06,	1.8300
26.73,	1.8200
27.40,	1.8100
28.06,	1.8100
28.73,	1.8200
29.40,	1.8100
30.06,	1.8100
30.73,	1.8100
31.40,	1.8100
32.06,	1.8000
32.73,	1.8000
33.40,	1.7900
34.07,	1.7900
34.73,	1.7800
35.40,	1.7800
36.07,	1.7800
36.73,	1.7800
37.40,	1.7900
38.07,	1.7900
38.73,	1.7800
39.40,	1.7800
40.06,	1.7800
40.73,	1.7800
41.40,	1.7800
42.06,	1.7800
42.73,	1.7700
43.40,	1.7700
44.06,	1.7600
44.73,	1.7500
45.39,	1.7500
46.06,	1.7500
46.73,	1.7500
47.39,	1.7500
48.06,	1.7500
48.72,	1.7400
49.39,	1.7400
50.06,	1.7400
50.72,	1.7400
51.39,	1.7300
52.05,	1.7400
52.72,	1.7300
53.38,	1.7300
54.05,	1.7300
54.71,	1.7300
55.38,	1.7300
56.05,	1.7300
56.71,	1.7300
57.38,	1.7300
58.04,	1.7300
58.71,	1.7300
59.37,	1.7300
60.04,	1.7300
60.70,	1.7300
61.37,	1.7300
62.03,	1.7300
62.70,	1.7300
63.36,	1.7200
64.03,	1.7200
64.69,	1.7200
65.36,	1.7200
66.02,	1.7100
66.69,	1.7100
67.35,	1.7100
68.01,	1.7200
68.68,	1.7200
69.34,	1.7200
70.01,	1.7100
70.67,	1.7100
71.34,	1.7200
72.00,	1.7200
72.66,	1.7100
73.33,	1.7100
73.99,	1.7100
74.66,	1.7000
75.32,	1.6800
75.98,	1.6700
76.65,	1.6600
77.31,	1.6600
77.98,	1.6500
78.64,	1.6600
79.30,	1.6500
79.97,	1.6500
80.63,	1.6500
81.30,	1.6500
81.96,	1.6500
82.62,	1.6500
83.29,	1.6400
83.95,	1.6400
84.61,	1.6400
85.28,	1.6400
85.94,	1.6300
86.60,	1.6200
87.27,	1.6200
87.93,	1.6100
88.59,	1.6000
89.26,	1.5900
89.92,	1.5800
90.58,	1.5800
91.24,	1.5600
91.91,	1.5400
92.57,	1.5200
93.23,	1.5100
93.90,	1.4900
94.56,	1.4600
95.22,	1.4300
95.88,	1.3900
96.55,	1.3100
97.21,	1.1600
97.87,	1.0200
98.53,	0.9600
99.20,	0.9200
99.86,	0.8100
100.52,	0.7200
101.18,	0.6900
101.85,	0.6500
102.51,	0.5500
103.17,	0.4400
103.83,	0.3900
104.49,	0.3600
105.16,	0.3300
105.82,	0.3100
106.48,	0.2800
107.14,	0.2800
107.80,	0.2700
108.47,	0.2600
109.13,	0.2400
109.79,	0.2300
110.45,	0.2200
111.11,	0.2000
111.77,	0.1800
112.44,	0.1700
113.10,	0.1600
113.76,	0.1500
114.42,	0.1500
115.08,	0.1400
115.74,	0.1300
116.40,	0.1300
117.06,	0.1300
117.73,	0.1300
118.39,	0.1300
119.05,	0.1300
119.71,	0.1300
120.37,	0.1300
121.03,	0.1200
121.69,	0.1200
122.35,	0.1200
123.01,	0.1200
123.67,	0.1200
124.33,	0.1200
125.00,	0.1200
125.66,	0.1200
126.32,	0.1200
126.98,	0.1200
127.64,	0.1200
128.30,	0.1300
128.96,	0.1200
129.62,	0.1200
130.28,	0.1300
130.94,	0.1300
131.60,	0.1300
132.26,	0.1400
132.92,	0.1400
133.58,	0.1500
134.24,	0.1600
134.90,	0.1600
135.56,	0.1700
136.22,	0.1700
136.88,	0.1800
137.54,	0.1800
138.20,	0.1800
138.86,	0.1900
139.52,	0.1900
140.18,	0.1900
140.84,	0.1900
141.50,	0.1900
142.16,	0.2000
142.82,	0.2000
143.48,	0.2100
144.14,	0.2100
144.79,	0.2200
145.45,	0.2300
146.11,	0.2400
146.77,	0.2400
147.43,	0.2500
148.09,	0.2600
148.75,	0.2600
149.41,	0.2800
150.07,	0.3000
150.73,	0.3100
151.39,	0.3300
152.04,	0.3500
152.70,	0.3800
153.36,	0.3900
154.02,	0.3900
154.68,	0.4000
155.34,	0.4100
156.00,	0.4300
156.65,	0.4500
157.31,	0.4700
157.97,	0.4800
158.63,	0.4900
159.29,	0.5000
159.95,	0.5100
160.60,	0.5300
161.26,	0.5500
161.92,	0.5600
162.58,	0.5700
163.24,	0.5900
163.90,	0.6100
164.55,	0.6400
165.21,	0.6700
165.87,	0.7000
166.53,	0.7200
167.18,	0.7500
167.84,	0.7700
168.50,	0.7900
169.16,	0.8400
169.82,	0.8800
170.47,	0.9100
171.13,	0.9200
171.79,	0.9300
172.44,	0.9400
173.10,	0.9500
173.76,	0.9800
174.42,	1.0200
175.07,	1.0700
175.73,	1.1000
176.39,	1.1200
177.05,	1.1400
177.70,	1.1500
178.36,	1.1800
179.02,	1.2500
179.67,	1.3000
180.33,	1.3400
180.99,	1.3700
181.64,	1.4000
182.30,	1.4400
182.96,	1.4700
183.61,	1.4800
184.27,	1.4900
184.93,	1.4900
185.58,	1.4900
186.24,	1.4900
186.90,	1.5000
187.55,	1.5000
188.21,	1.5000
188.87,	1.5000
189.52,	1.5100
190.18,	1.5300
190.83,	1.5300
191.49,	1.5300
192.15,	1.5400
192.80,	1.5500
193.46,	1.5700
194.11,	1.5800
194.77,	1.5900
195.43,	1.6200
196.08,	1.6500
196.74,	1.6700
197.39,	1.6800
198.05,	1.6900
198.70,	1.7100
199.36,	1.7200
200.02,	1.7300
200.67,	1.7400
201.33,	1.7400
201.98,	1.7500
202.64,	1.7600
203.29,	1.7700
203.95,	1.7800
204.60,	1.7800
205.26,	1.7900
205.91,	1.7900
206.57,	1.8000
207.22,	1.8000
207.88,	1.8100
208.53,	1.8100
209.19,	1.8200
209.84,	1.8200
210.50,	1.8200
211.15,	1.8200
211.81,	1.8200
212.46,	1.8300
213.12,	1.8200
213.77,	1.8300
214.43,	1.8300
215.08,	1.8300
215.74,	1.8300
216.39,	1.8300
217.04,	1.8300
217.70,	1.8400
218.35,	1.8400
219.01,	1.8400
219.66,	1.8500
220.32,	1.8600
220.97,	1.8600
221.62,	1.8600
222.28,	1.8700
222.93,	1.8800
223.59,	1.8900
224.24,	1.8900
224.89,	1.8900
225.55,	1.8900
226.20,	1.9000
226.85,	1.9000
227.51,	1.9000
228.16,	1.9000
228.81,	1.9000
229.47,	1.9000
230.12,	1.9000
230.78,	1.9100
231.43,	1.9100
232.08,	1.9200
232.74,	1.9200
233.39,	1.9200
234.04,	1.9200
234.69,	1.9200
235.35,	1.9200
236.00,	1.9200
236.65,	1.9300
237.31,	1.9300
237.96,	1.9300
238.61,	1.9300
239.27,	1.9400
239.92,	1.9400
240.57,	1.9500
241.22,	1.9400
241.88,	1.9500
242.53,	1.9500
243.18,	1.9500
243.83,	1.9600
244.49,	1.9600
245.14,	1.9700
245.79,	1.9700
246.44,	1.9800
247.10,	1.9800
247.75,	1.9800
248.40,	1.9800
249.05,	1.9900
249.70,	1.9900
250.36,	2.0000
251.01,	2.0100
251.66,	2.0200
252.31,	2.0200
252.96,	2.0200
253.62,	2.0200
254.27,	2.0200
254.92,	2.0200
255.57,	2.0300
256.22,	2.0300
256.88,	2.0300
257.53,	2.0300
258.18,	2.0300
258.83,	2.0300
259.48,	2.0400
260.13,	2.0400
260.78,	2.0400
261.44,	2.0400
262.09,	2.0400
262.74,	2.0400
263.39,	2.0500
264.04,	2.0500
264.69,	2.0500
265.34,	2.0500
265.99,	2.0500
266.64,	2.0500
267.29,	2.0500
267.95,	2.0500
268.60,	2.0500
269.25,	2.0500
269.90,	2.0500
270.55,	2.0500
271.20,	2.0500
271.85,	2.0600
272.50,	2.0600
273.15,	2.0600
273.80,	2.0600
274.45,	2.0600
275.10,	2.0500
275.75,	2.0600
276.40,	2.0600
277.05,	2.0600
277.70,	2.0600
278.35,	2.0500
279.00,	2.0500
279.65,	2.0500
280.30,	2.0600
280.95,	2.0600
281.60,	2.0600
282.25,	2.0600
282.90,	2.0600
283.55,	2.0600
284.20,	2.0600
284.85,	2.0600
285.50,	2.0600
286.15,	2.0600
286.80,	2.0600
287.45,	2.0600
288.10,	2.0600
288.75,	2.0600
289.40,	2.0600
290.05,	2.0600
290.70,	2.0700
291.35,	2.0600
292.00,	2.0600
292.64,	2.0700
293.29,	2.0700
293.94,	2.0600
294.59,	2.0600
295.24,	2.0600
295.89,	2.0700
296.54,	2.0700
297.19,	2.0700
297.84,	2.0700
298.49,	2.0700
299.13,	2.0700
299.78,	2.0700
300.43,	2.0700
301.08,	2.0700
301.73,	2.0700
302.38,	2.0700
303.02,	2.0700
303.67,	2.0700
304.32,	2.0700
304.97,	2.0700
305.62,	2.0700
306.27,	2.0700
306.91,	2.0700
307.56,	2.0700
308.21,	2.0700
308.86,	2.0700
309.51,	2.0700
310.15,	2.0700
310.80,	2.0700
311.45,	2.0700
312.10,	2.0700
312.75,	2.0700
313.39,	2.0700
314.04,	2.0700
314.69,	2.0700
315.34,	2.0700
315.98,	2.0700
316.63,	2.0700
317.28,	2.0700
317.93,	2.0700
318.57,	2.0700
319.22,	2.0800
319.87,	2.0700
320.52,	2.0700
321.16,	2.0800
321.81,	2.0700
322.46,	2.0800
323.10,	2.0800
323.75,	2.0800
324.40,	2.0800
325.04,	2.0800
325.69,	2.0800
326.34,	2.0800
326.99,	2.0700
327.63,	2.0800
328.28,	2.0800
328.93,	2.0800
329.57,	2.0800
