Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 02/06/2017,	Time = 09:04,	
Latitude = 35 03.97  S,	Longitude = 014 12.04  E
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 160,	Wind Speed = 14.00
Dry Bulb Temp = 17.00,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
0.67,	19.6500
1.34,	19.8800
2.01,	19.9800
2.68,	20.0500
3.34,	20.0600
4.01,	20.0600
4.68,	20.0600
5.35,	20.0600
6.02,	20.0600
6.69,	20.0700
7.36,	20.0600
8.03,	20.0600
8.69,	20.0600
9.36,	20.0700
10.03,	20.0600
10.70,	20.0700
11.37,	20.0700
12.04,	20.0600
12.70,	20.0600
13.37,	20.0600
14.04,	20.0600
14.71,	20.0600
15.38,	20.0600
16.05,	20.0600
16.71,	20.0600
17.38,	20.0500
18.05,	20.0600
18.72,	20.0600
19.38,	20.0600
20.05,	20.0600
20.72,	20.0700
21.39,	20.0600
22.06,	20.0300
22.72,	20.0400
23.39,	20.0600
24.06,	20.0600
24.73,	20.0600
25.39,	20.0600
26.06,	20.0600
26.73,	20.0500
27.40,	20.0500
28.06,	20.0400
28.73,	20.0500
29.40,	20.0500
30.06,	20.0500
30.73,	20.0400
31.40,	20.0400
32.06,	20.0400
32.73,	20.0500
33.40,	20.0500
34.07,	20.0400
34.73,	20.0500
35.40,	20.0400
36.07,	20.0400
36.73,	20.0500
37.40,	20.0500
38.07,	20.0500
38.73,	20.0400
39.40,	20.0400
40.06,	20.0400
40.73,	20.0500
41.40,	20.0400
42.06,	20.0500
42.73,	20.0500
43.40,	20.0500
44.06,	20.0500
44.73,	20.0500
45.39,	20.0500
46.06,	20.0400
46.73,	20.0500
47.39,	20.0400
48.06,	20.0400
48.72,	20.0500
49.39,	20.0400
50.06,	20.0400
50.72,	20.0500
51.39,	20.0500
52.05,	20.0400
52.72,	20.0400
53.38,	20.0400
54.05,	20.0400
54.71,	20.0400
55.38,	20.0400
56.05,	20.0500
56.71,	20.0400
57.38,	20.0400
58.04,	20.0400
58.71,	20.0400
59.37,	20.0300
60.04,	20.0300
60.70,	20.0100
61.37,	20.0200
62.03,	20.0100
62.70,	20.0100
63.36,	20.0100
64.03,	20.0100
64.69,	20.0100
65.36,	20.0100
66.02,	19.9900
66.69,	19.9700
67.35,	19.9400
68.01,	19.9200
68.68,	19.9100
69.34,	19.8900
70.01,	19.8800
70.67,	19.8800
71.34,	19.8800
72.00,	19.8900
72.66,	19.8800
73.33,	19.8800
73.99,	19.8900
74.66,	19.8800
75.32,	19.8700
75.98,	19.8600
76.65,	19.8400
77.31,	19.8100
77.98,	19.7900
78.64,	19.7800
79.30,	19.7700
79.97,	19.7700
80.63,	19.7600
81.30,	19.7600
81.96,	19.7400
82.62,	19.7400
83.29,	19.7300
83.95,	19.7100
84.61,	19.6900
85.28,	19.6700
85.94,	19.6300
86.60,	19.5800
87.27,	19.5400
87.93,	19.4900
88.59,	19.4300
89.26,	19.3400
89.92,	19.2700
90.58,	19.2400
91.24,	19.2200
91.91,	19.2200
92.57,	19.2200
93.23,	19.2100
93.90,	19.2000
94.56,	19.1900
95.22,	19.1900
95.88,	19.1900
96.55,	19.1800
97.21,	19.1700
97.87,	19.1700
98.53,	19.1600
99.20,	19.1600
99.86,	19.1600
100.52,	19.1600
101.18,	19.1600
101.85,	19.1600
102.51,	19.1600
103.17,	19.1500
103.83,	19.1600
104.49,	19.1500
105.16,	19.1500
105.82,	19.1400
106.48,	19.1500
107.14,	19.1400
107.80,	19.1400
108.47,	19.1200
109.13,	19.1100
109.79,	19.0900
110.45,	19.0800
111.11,	19.0600
111.77,	19.0300
112.44,	19.0100
113.10,	19.0000
113.76,	18.9900
114.42,	18.9800
115.08,	18.9700
115.74,	18.9300
116.40,	18.8900
117.06,	18.8600
117.73,	18.8200
118.39,	18.7900
119.05,	18.7800
119.71,	18.7600
120.37,	18.7500
121.03,	18.7500
121.69,	18.7500
122.35,	18.7500
123.01,	18.7500
123.67,	18.7400
124.33,	18.7500
125.00,	18.7400
125.66,	18.7500
126.32,	18.7400
126.98,	18.7200
127.64,	18.7000
128.30,	18.6600
128.96,	18.6500
129.62,	18.6400
130.28,	18.6300
130.94,	18.6300
131.60,	18.6200
132.26,	18.6100
132.92,	18.6000
133.58,	18.5900
134.24,	18.5800
134.90,	18.5700
135.56,	18.5500
136.22,	18.5300
136.88,	18.5100
137.54,	18.5000
138.20,	18.4800
138.86,	18.4800
139.52,	18.4800
140.18,	18.4600
140.84,	18.4600
141.50,	18.4500
142.16,	18.4300
142.82,	18.4100
143.48,	18.3800
144.14,	18.3600
144.79,	18.3200
145.45,	18.2900
146.11,	18.2600
146.77,	18.2400
147.43,	18.2100
148.09,	18.2000
148.75,	18.1800
149.41,	18.1600
150.07,	18.1600
150.73,	18.1600
151.39,	18.1500
152.04,	18.1300
152.70,	18.1200
153.36,	18.1200
154.02,	18.1100
154.68,	18.1100
155.34,	18.1000
156.00,	18.0900
156.65,	18.0800
157.31,	18.0700
157.97,	18.0600
158.63,	18.0400
159.29,	18.0400
159.95,	18.0200
160.60,	18.0100
161.26,	18.0100
161.92,	18.0100
162.58,	18.0000
163.24,	18.0000
163.90,	18.0000
164.55,	18.0000
165.21,	18.0000
165.87,	17.9900
166.53,	17.9900
167.18,	17.9900
167.84,	17.9800
168.50,	17.9400
169.16,	17.9200
169.82,	17.9000
170.47,	17.8800
171.13,	17.8800
171.79,	17.8700
172.44,	17.8700
173.10,	17.8700
173.76,	17.8500
174.42,	17.8500
175.07,	17.8300
175.73,	17.8000
176.39,	17.7700
177.05,	17.7500
177.70,	17.7400
178.36,	17.7200
179.02,	17.7000
179.67,	17.6800
180.33,	17.6700
180.99,	17.6600
181.64,	17.6500
182.30,	17.6400
182.96,	17.6200
183.61,	17.6200
184.27,	17.6100
184.93,	17.6100
185.58,	17.6200
186.24,	17.6200
186.90,	17.6200
187.55,	17.6200
188.21,	17.6100
188.87,	17.6000
189.52,	17.6100
190.18,	17.6000
190.83,	17.6100
191.49,	17.6100
192.15,	17.5900
192.80,	17.5800
193.46,	17.5500
194.11,	17.5300
194.77,	17.5100
195.43,	17.4800
196.08,	17.4700
196.74,	17.4500
197.39,	17.4300
198.05,	17.4100
198.70,	17.4100
199.36,	17.4000
200.02,	17.4000
200.67,	17.4000
201.33,	17.4000
201.98,	17.4100
202.64,	17.4000
203.29,	17.3900
203.95,	17.4000
204.60,	17.4000
205.26,	17.4000
205.91,	17.4000
206.57,	17.3900
207.22,	17.3800
207.88,	17.3800
208.53,	17.3900
209.19,	17.3900
209.84,	17.3800
210.50,	17.3800
211.15,	17.3700
211.81,	17.3500
212.46,	17.3300
213.12,	17.3100
213.77,	17.3100
214.43,	17.3000
215.08,	17.2700
215.74,	17.2500
216.39,	17.2400
217.04,	17.2300
217.70,	17.2200
218.35,	17.2100
219.01,	17.2000
219.66,	17.1900
220.32,	17.1900
220.97,	17.1900
221.62,	17.1900
222.28,	17.1800
222.93,	17.1800
223.59,	17.1700
224.24,	17.1600
224.89,	17.1600
225.55,	17.1400
226.20,	17.1300
226.85,	17.1100
227.51,	17.0800
228.16,	17.0600
228.81,	17.0400
229.47,	17.0200
230.12,	16.9900
230.78,	16.9700
231.43,	16.9400
232.08,	16.9200
232.74,	16.8900
233.39,	16.8600
234.04,	16.8400
234.69,	16.8100
235.35,	16.7900
236.00,	16.7800
236.65,	16.7800
237.31,	16.7800
237.96,	16.7800
238.61,	16.7800
239.27,	16.7700
239.92,	16.7700
240.57,	16.7600
241.22,	16.7600
241.88,	16.7500
242.53,	16.7500
243.18,	16.7500
243.83,	16.7400
244.49,	16.7400
245.14,	16.7400
245.79,	16.7400
246.44,	16.7400
247.10,	16.7400
247.75,	16.7300
248.40,	16.7200
249.05,	16.7200
249.70,	16.7100
250.36,	16.7100
251.01,	16.7000
251.66,	16.6800
252.31,	16.6600
252.96,	16.6300
253.62,	16.6200
254.27,	16.6100
254.92,	16.5900
255.57,	16.5600
256.22,	16.5500
256.88,	16.5400
257.53,	16.5200
258.18,	16.5000
258.83,	16.4800
259.48,	16.4700
260.13,	16.4500
260.78,	16.4400
261.44,	16.4300
262.09,	16.4200
262.74,	16.4100
263.39,	16.3900
264.04,	16.3700
264.69,	16.3600
265.34,	16.3500
265.99,	16.3200
266.64,	16.3000
267.29,	16.2900
267.95,	16.2800
268.60,	16.2700
269.25,	16.2600
269.90,	16.2500
270.55,	16.2400
271.20,	16.2100
271.85,	16.1900
272.50,	16.1900
273.15,	16.1900
273.80,	16.1700
274.45,	16.1600
275.10,	16.1500
275.75,	16.1500
276.40,	16.1500
277.05,	16.1400
277.70,	16.1200
278.35,	16.1100
279.00,	16.1000
279.65,	16.0900
280.30,	16.0800
280.95,	16.0600
281.60,	16.0400
282.25,	16.0300
282.90,	15.9900
283.55,	15.9700
284.20,	15.9600
284.85,	15.9400
285.50,	15.9200
286.15,	15.9100
286.80,	15.9000
287.45,	15.9000
288.10,	15.9000
288.75,	15.9000
289.40,	15.9100
290.05,	15.9000
290.70,	15.8900
291.35,	15.8700
292.00,	15.8800
292.64,	15.8700
293.29,	15.8600
293.94,	15.8400
294.59,	15.8200
295.24,	15.8200
295.89,	15.8000
296.54,	15.8000
297.19,	15.8000
297.84,	15.7700
298.49,	15.7400
299.13,	15.7000
299.78,	15.6700
300.43,	15.6600
301.08,	15.6600
301.73,	15.6500
302.38,	15.6400
303.02,	15.6400
303.67,	15.6300
304.32,	15.6200
304.97,	15.5800
305.62,	15.5500
306.27,	15.5400
306.91,	15.5200
307.56,	15.5100
308.21,	15.4900
308.86,	15.4800
309.51,	15.4600
310.15,	15.4500
310.80,	15.4400
311.45,	15.4200
312.10,	15.4100
312.75,	15.4100
313.39,	15.3900
314.04,	15.3800
314.69,	15.3800
315.34,	15.3700
315.98,	15.3700
316.63,	15.3800
317.28,	15.3800
317.93,	15.3700
318.57,	15.3500
319.22,	15.3100
319.87,	15.2900
320.52,	15.2800
321.16,	15.2800
321.81,	15.2500
322.46,	15.2000
323.10,	15.1700
323.75,	15.1500
324.40,	15.1400
325.04,	15.1200
325.69,	15.1100
326.34,	15.1100
326.99,	15.1100
327.63,	15.1100
328.28,	15.1100
328.93,	15.1200
329.57,	15.1300
