Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 01/31/2017,	Time = 18:36,	
Latitude = 55 34.34  S,	Longitude = 000 00.39  W
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 215,	Wind Speed = 28.20
Dry Bulb Temp = 1.90,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
0.67,	2.8800
1.34,	2.5800
2.01,	2.4800
2.68,	2.4500
3.34,	2.4500
4.01,	2.4600
4.68,	2.4700
5.35,	2.4700
6.02,	2.4700
6.69,	2.4700
7.36,	2.4700
8.03,	2.4800
8.69,	2.4800
9.36,	2.4900
10.03,	2.4800
10.70,	2.4800
11.37,	2.4800
12.04,	2.4800
12.70,	2.4700
13.37,	2.4700
14.04,	2.4800
14.71,	2.4800
15.38,	2.4900
16.05,	2.4900
16.71,	2.4900
17.38,	2.4900
18.05,	2.4800
18.72,	2.4700
19.38,	2.4700
20.05,	2.4600
20.72,	2.4500
21.39,	2.4300
22.06,	2.3800
22.72,	2.3400
23.39,	2.3100
24.06,	2.2600
24.73,	2.2300
25.39,	2.2200
26.06,	2.2100
26.73,	2.2100
27.40,	2.2000
28.06,	2.2000
28.73,	2.2000
29.40,	2.2000
30.06,	2.2000
30.73,	2.2000
31.40,	2.1900
32.06,	2.2000
32.73,	2.2000
33.40,	2.2000
34.07,	2.1900
34.73,	2.1900
35.40,	2.1900
36.07,	2.1800
36.73,	2.1800
37.40,	2.1800
38.07,	2.1800
38.73,	2.1800
39.40,	2.1900
40.06,	2.1900
40.73,	2.1800
41.40,	2.1800
42.06,	2.1800
42.73,	2.1800
43.40,	2.1800
44.06,	2.1800
44.73,	2.1800
45.39,	2.1700
46.06,	2.1700
46.73,	2.1700
47.39,	2.1700
48.06,	2.1700
48.72,	2.1600
49.39,	2.1500
50.06,	2.1400
50.72,	2.1300
51.39,	2.1300
52.05,	2.1200
52.72,	2.1000
53.38,	2.1000
54.05,	2.0900
54.71,	2.0700
55.38,	2.0700
56.05,	2.0700
56.71,	2.0700
57.38,	2.0600
58.04,	2.0400
58.71,	2.0300
59.37,	2.0200
60.04,	2.0200
60.70,	2.0100
61.37,	2.0100
62.03,	2.0000
62.70,	2.0000
63.36,	2.0000
64.03,	2.0000
64.69,	2.0000
65.36,	2.0000
66.02,	1.9900
66.69,	1.9900
67.35,	1.9800
68.01,	1.9800
68.68,	1.9800
69.34,	1.9800
70.01,	1.9800
70.67,	1.9800
71.34,	1.9800
72.00,	1.9800
72.66,	1.9800
73.33,	1.9800
73.99,	1.9700
74.66,	1.9700
75.32,	1.9700
75.98,	1.9700
76.65,	1.9600
77.31,	1.9500
77.98,	1.9500
78.64,	1.9500
79.30,	1.9400
79.97,	1.9400
80.63,	1.9400
81.30,	1.9400
81.96,	1.9400
82.62,	1.9400
83.29,	1.9300
83.95,	1.9300
84.61,	1.9300
85.28,	1.9300
85.94,	1.9300
86.60,	1.9300
87.27,	1.9300
87.93,	1.9200
88.59,	1.9200
89.26,	1.9200
89.92,	1.9200
90.58,	1.9200
91.24,	1.9200
91.91,	1.9200
92.57,	1.9200
93.23,	1.9200
93.90,	1.9200
94.56,	1.9200
95.22,	1.9200
95.88,	1.9200
96.55,	1.9100
97.21,	1.9100
97.87,	1.9200
98.53,	1.9200
99.20,	1.9100
99.86,	1.9100
100.52,	1.9100
101.18,	1.9100
101.85,	1.9100
102.51,	1.9100
103.17,	1.9100
103.83,	1.9000
104.49,	1.8900
105.16,	1.8800
105.82,	1.8700
106.48,	1.8500
107.14,	1.8300
107.80,	1.8100
108.47,	1.7800
109.13,	1.7500
109.79,	1.7100
110.45,	1.6400
111.11,	1.5800
111.77,	1.5300
112.44,	1.5100
113.10,	1.4700
113.76,	1.3900
114.42,	1.3100
115.08,	1.2500
115.74,	1.1400
116.40,	0.9900
117.06,	0.8600
117.73,	0.7800
118.39,	0.7000
119.05,	0.6500
119.71,	0.6100
120.37,	0.5500
121.03,	0.5000
121.69,	0.4700
122.35,	0.4500
123.01,	0.4300
123.67,	0.4200
124.33,	0.4100
125.00,	0.4100
125.66,	0.4100
126.32,	0.4000
126.98,	0.3800
127.64,	0.3700
128.30,	0.3600
128.96,	0.3500
129.62,	0.3400
130.28,	0.3300
130.94,	0.3100
131.60,	0.2900
132.26,	0.2700
132.92,	0.2600
133.58,	0.2400
134.24,	0.2400
134.90,	0.2400
135.56,	0.2300
136.22,	0.2300
136.88,	0.2300
137.54,	0.2300
138.20,	0.2300
138.86,	0.2400
139.52,	0.2500
140.18,	0.2700
140.84,	0.2900
141.50,	0.3000
142.16,	0.3100
142.82,	0.3200
143.48,	0.3300
144.14,	0.3400
144.79,	0.3400
145.45,	0.3500
146.11,	0.3500
146.77,	0.3400
147.43,	0.3300
148.09,	0.3300
148.75,	0.3400
149.41,	0.3500
150.07,	0.3700
150.73,	0.3800
151.39,	0.3800
152.04,	0.3900
152.70,	0.4200
153.36,	0.4400
154.02,	0.4500
154.68,	0.4500
155.34,	0.4700
156.00,	0.5200
156.65,	0.5700
157.31,	0.6100
157.97,	0.6400
158.63,	0.6600
159.29,	0.6700
159.95,	0.6800
160.60,	0.7000
161.26,	0.7200
161.92,	0.7300
162.58,	0.7500
163.24,	0.7800
163.90,	0.8000
164.55,	0.8100
165.21,	0.8200
165.87,	0.8200
166.53,	0.8200
167.18,	0.8200
167.84,	0.8200
168.50,	0.8200
169.16,	0.8400
169.82,	0.8700
170.47,	0.8900
171.13,	0.9200
171.79,	0.9500
172.44,	0.9900
173.10,	1.0000
173.76,	1.0100
174.42,	1.0500
175.07,	1.0800
175.73,	1.0900
176.39,	1.0900
177.05,	1.0800
177.70,	1.0600
178.36,	1.0400
179.02,	1.0200
179.67,	1.0200
180.33,	1.0300
180.99,	1.0500
181.64,	1.0900
182.30,	1.1300
182.96,	1.1800
183.61,	1.2300
184.27,	1.2700
184.93,	1.3000
185.58,	1.3300
186.24,	1.3600
186.90,	1.3800
187.55,	1.4000
188.21,	1.4000
188.87,	1.4100
189.52,	1.4100
190.18,	1.4100
190.83,	1.4100
191.49,	1.4000
192.15,	1.4000
192.80,	1.4300
193.46,	1.4500
194.11,	1.4700
194.77,	1.4900
195.43,	1.4900
196.08,	1.5000
196.74,	1.5300
197.39,	1.5700
198.05,	1.5900
198.70,	1.6000
199.36,	1.6100
200.02,	1.6200
200.67,	1.6300
201.33,	1.6500
201.98,	1.6700
202.64,	1.6800
203.29,	1.6800
203.95,	1.6900
204.60,	1.6900
205.26,	1.6900
205.91,	1.7000
206.57,	1.7100
207.22,	1.7100
207.88,	1.7200
208.53,	1.7300
209.19,	1.7400
209.84,	1.7600
210.50,	1.7800
211.15,	1.7800
211.81,	1.8000
212.46,	1.8100
213.12,	1.8100
213.77,	1.8100
214.43,	1.8200
215.08,	1.8200
215.74,	1.8300
216.39,	1.8400
217.04,	1.8400
217.70,	1.8500
218.35,	1.8500
219.01,	1.8600
219.66,	1.8800
220.32,	1.8800
220.97,	1.8900
221.62,	1.8900
222.28,	1.9000
222.93,	1.9000
223.59,	1.9000
224.24,	1.9000
224.89,	1.9100
225.55,	1.9100
226.20,	1.9200
226.85,	1.9400
227.51,	1.9500
228.16,	1.9500
228.81,	1.9500
229.47,	1.9500
230.12,	1.9500
230.78,	1.9600
231.43,	1.9600
232.08,	1.9600
232.74,	1.9700
233.39,	1.9700
234.04,	1.9700
234.69,	1.9700
235.35,	1.9700
236.00,	1.9700
236.65,	1.9700
237.31,	1.9700
237.96,	1.9700
238.61,	1.9800
239.27,	1.9800
239.92,	1.9900
240.57,	1.9900
241.22,	1.9900
241.88,	2.0000
242.53,	2.0000
243.18,	2.0000
243.83,	2.0000
244.49,	2.0000
245.14,	2.0000
245.79,	2.0000
246.44,	2.0000
247.10,	2.0000
247.75,	2.0100
248.40,	2.0100
249.05,	2.0100
249.70,	2.0100
250.36,	2.0100
251.01,	2.0100
251.66,	2.0100
252.31,	2.0100
252.96,	2.0100
253.62,	2.0100
254.27,	2.0100
254.92,	2.0200
255.57,	2.0100
256.22,	2.0200
256.88,	2.0200
257.53,	2.0200
258.18,	2.0200
258.83,	2.0200
259.48,	2.0200
260.13,	2.0200
260.78,	2.0200
261.44,	2.0200
262.09,	2.0300
262.74,	2.0300
263.39,	2.0300
264.04,	2.0300
264.69,	2.0300
265.34,	2.0400
265.99,	2.0400
266.64,	2.0400
267.29,	2.0400
267.95,	2.0500
268.60,	2.0400
269.25,	2.0400
269.90,	2.0500
270.55,	2.0500
271.20,	2.0500
271.85,	2.0500
272.50,	2.0500
273.15,	2.0600
273.80,	2.0600
274.45,	2.0600
275.10,	2.0600
275.75,	2.0500
276.40,	2.0500
277.05,	2.0500
277.70,	2.0500
278.35,	2.0500
279.00,	2.0500
279.65,	2.0500
280.30,	2.0500
280.95,	2.0500
281.60,	2.0600
282.25,	2.0600
282.90,	2.0600
283.55,	2.0700
284.20,	2.0700
284.85,	2.0700
285.50,	2.0700
286.15,	2.0700
286.80,	2.0700
287.45,	2.0700
288.10,	2.0700
288.75,	2.0700
289.40,	2.0700
290.05,	2.0800
290.70,	2.0800
291.35,	2.0800
292.00,	2.0800
292.64,	2.0800
293.29,	2.0800
293.94,	2.0800
294.59,	2.0800
295.24,	2.0800
295.89,	2.0800
296.54,	2.0800
297.19,	2.0800
297.84,	2.0900
298.49,	2.0900
299.13,	2.0900
299.78,	2.0900
300.43,	2.0900
301.08,	2.0900
301.73,	2.0900
302.38,	2.0900
303.02,	2.0900
303.67,	2.0900
304.32,	2.0800
304.97,	2.0800
305.62,	2.0900
306.27,	2.0900
306.91,	2.0900
307.56,	2.0900
308.21,	2.0900
308.86,	2.0900
309.51,	2.0900
310.15,	2.0900
310.80,	2.0900
311.45,	2.0900
312.10,	2.0900
312.75,	2.0900
313.39,	2.0900
314.04,	2.0900
314.69,	2.0900
315.34,	2.0900
315.98,	2.0900
316.63,	2.0900
317.28,	2.0900
317.93,	2.0900
318.57,	2.0900
319.22,	2.0900
319.87,	2.0900
320.52,	2.0900
321.16,	2.0900
321.81,	2.0900
322.46,	2.0900
323.10,	2.1000
323.75,	2.1000
324.40,	2.1000
325.04,	2.0900
325.69,	2.0900
326.34,	2.0900
326.99,	2.0900
327.63,	2.0900
328.28,	2.0900
328.93,	2.0900
329.57,	2.0900
