Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 01/31/2017,	Time = 14:09,	
Latitude = 53 34.88  S,	Longitude = 000 00.10  W
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 243,	Wind Speed = 42.80
Dry Bulb Temp = 1.80,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
0.67,	2.3000
1.34,	1.7700
2.01,	1.6400
2.68,	1.6100
3.34,	1.6000
4.01,	1.5900
4.68,	1.5900
5.35,	1.5700
6.02,	1.5800
6.69,	1.6000
7.36,	1.6000
8.03,	1.6000
8.69,	1.6000
9.36,	1.6000
10.03,	1.6000
10.70,	1.6000
11.37,	1.6000
12.04,	1.6000
12.70,	1.6100
13.37,	1.6100
14.04,	1.6000
14.71,	1.6000
15.38,	1.6000
16.05,	1.6000
16.71,	1.6000
17.38,	1.6000
18.05,	1.6000
18.72,	1.6000
19.38,	1.5900
20.05,	1.6000
20.72,	1.6000
21.39,	1.6100
22.06,	1.6000
22.72,	1.5900
23.39,	1.5900
24.06,	1.5800
24.73,	1.5800
25.39,	1.5700
26.06,	1.5700
26.73,	1.5800
27.40,	1.5700
28.06,	1.5700
28.73,	1.5700
29.40,	1.5700
30.06,	1.5700
30.73,	1.5700
31.40,	1.5700
32.06,	1.5700
32.73,	1.5700
33.40,	1.5700
34.07,	1.5700
34.73,	1.5700
35.40,	1.5700
36.07,	1.5700
36.73,	1.5700
37.40,	1.5700
38.07,	1.5700
38.73,	1.5700
39.40,	1.5600
40.06,	1.5500
40.73,	1.5500
41.40,	1.5500
42.06,	1.5500
42.73,	1.5500
43.40,	1.5500
44.06,	1.5500
44.73,	1.5500
45.39,	1.5500
46.06,	1.5500
46.73,	1.5500
47.39,	1.5500
48.06,	1.5500
48.72,	1.5500
49.39,	1.5500
50.06,	1.5500
50.72,	1.5500
51.39,	1.5500
52.05,	1.5500
52.72,	1.5500
53.38,	1.5400
54.05,	1.5400
54.71,	1.5400
55.38,	1.5500
56.05,	1.5400
56.71,	1.5400
57.38,	1.5400
58.04,	1.5400
58.71,	1.5400
59.37,	1.5400
60.04,	1.5500
60.70,	1.5500
61.37,	1.5400
62.03,	1.5300
62.70,	1.5300
63.36,	1.5100
64.03,	1.5000
64.69,	1.4900
65.36,	1.4900
66.02,	1.4900
66.69,	1.4800
67.35,	1.4700
68.01,	1.4700
68.68,	1.4600
69.34,	1.4300
70.01,	1.3700
70.67,	1.3200
71.34,	1.2800
72.00,	1.2400
72.66,	1.2100
73.33,	1.1600
73.99,	1.1100
74.66,	1.0400
75.32,	0.9300
75.98,	0.8100
76.65,	0.6900
77.31,	0.5900
77.98,	0.5300
78.64,	0.5100
79.30,	0.5000
79.97,	0.5000
80.63,	0.4700
81.30,	0.4400
81.96,	0.3900
82.62,	0.3000
83.29,	0.2300
83.95,	0.1900
84.61,	0.1700
85.28,	0.1400
85.94,	0.0500
86.60,	-0.0400
87.27,	-0.1200
87.93,	-0.1700
88.59,	-0.2500
89.26,	-0.3300
89.92,	-0.3800
90.58,	-0.4100
91.24,	-0.4400
91.91,	-0.4500
92.57,	-0.4500
93.23,	-0.4500
93.90,	-0.4600
94.56,	-0.4800
95.22,	-0.4900
95.88,	-0.5000
96.55,	-0.5300
97.21,	-0.5500
97.87,	-0.5600
98.53,	-0.5700
99.20,	-0.5700
99.86,	-0.5500
100.52,	-0.5400
101.18,	-0.5400
101.85,	-0.5400
102.51,	-0.5300
103.17,	-0.5300
103.83,	-0.5300
104.49,	-0.5400
105.16,	-0.5400
105.82,	-0.5600
106.48,	-0.5700
107.14,	-0.6000
107.80,	-0.6400
108.47,	-0.6600
109.13,	-0.6600
109.79,	-0.6500
110.45,	-0.6500
111.11,	-0.6500
111.77,	-0.6500
112.44,	-0.6600
113.10,	-0.6600
113.76,	-0.6800
114.42,	-0.7100
115.08,	-0.7200
115.74,	-0.7200
116.40,	-0.7300
117.06,	-0.7400
117.73,	-0.7500
118.39,	-0.7600
119.05,	-0.7800
119.71,	-0.8000
120.37,	-0.8200
121.03,	-0.8200
121.69,	-0.8200
122.35,	-0.8200
123.01,	-0.8000
123.67,	-0.7800
124.33,	-0.7600
125.00,	-0.7600
125.66,	-0.7600
126.32,	-0.7700
126.98,	-0.7600
127.64,	-0.7700
128.30,	-0.7800
128.96,	-0.7700
129.62,	-0.7700
130.28,	-0.7700
130.94,	-0.7700
131.60,	-0.7700
132.26,	-0.7600
132.92,	-0.7500
133.58,	-0.7400
134.24,	-0.7400
134.90,	-0.7300
135.56,	-0.7200
136.22,	-0.7200
136.88,	-0.7100
137.54,	-0.6900
138.20,	-0.6700
138.86,	-0.6300
139.52,	-0.5700
140.18,	-0.5200
140.84,	-0.5100
141.50,	-0.5200
142.16,	-0.5100
142.82,	-0.4900
143.48,	-0.4400
144.14,	-0.4100
144.79,	-0.3800
145.45,	-0.3500
146.11,	-0.2900
146.77,	-0.2700
147.43,	-0.2500
148.09,	-0.2100
148.75,	-0.1900
149.41,	-0.1800
150.07,	-0.1500
150.73,	-0.1300
151.39,	-0.1100
152.04,	-0.0900
152.70,	-0.0700
153.36,	-0.0400
154.02,	0.0100
154.68,	0.0500
155.34,	0.0700
156.00,	0.0900
156.65,	0.1000
157.31,	0.1300
157.97,	0.1600
158.63,	0.1700
159.29,	0.1800
159.95,	0.1900
160.60,	0.1900
161.26,	0.2000
161.92,	0.2100
162.58,	0.2300
163.24,	0.2500
163.90,	0.3000
164.55,	0.3500
165.21,	0.3900
165.87,	0.4100
166.53,	0.4300
167.18,	0.4400
167.84,	0.4500
168.50,	0.4500
169.16,	0.4500
169.82,	0.4600
170.47,	0.4600
171.13,	0.4700
171.79,	0.4900
172.44,	0.5100
173.10,	0.5200
173.76,	0.5500
174.42,	0.5800
175.07,	0.5900
175.73,	0.6000
176.39,	0.6100
177.05,	0.6300
177.70,	0.6400
178.36,	0.6500
179.02,	0.6600
179.67,	0.6800
180.33,	0.7100
180.99,	0.7200
181.64,	0.7400
182.30,	0.7500
182.96,	0.7900
183.61,	0.8100
184.27,	0.8300
184.93,	0.8700
185.58,	0.9300
186.24,	0.9700
186.90,	0.9900
187.55,	1.0100
188.21,	1.0200
188.87,	1.0200
189.52,	1.0400
190.18,	1.0400
190.83,	1.0600
191.49,	1.0800
192.15,	1.1000
192.80,	1.1200
193.46,	1.1400
194.11,	1.1500
194.77,	1.1600
195.43,	1.1600
196.08,	1.1700
196.74,	1.1900
197.39,	1.2000
198.05,	1.2100
198.70,	1.2200
199.36,	1.2400
200.02,	1.2600
200.67,	1.2800
201.33,	1.2900
201.98,	1.3000
202.64,	1.3100
203.29,	1.3100
203.95,	1.3100
204.60,	1.3200
205.26,	1.3200
205.91,	1.3300
206.57,	1.3300
207.22,	1.3400
207.88,	1.3400
208.53,	1.3500
209.19,	1.3600
209.84,	1.3600
210.50,	1.3700
211.15,	1.3700
211.81,	1.3700
212.46,	1.3800
213.12,	1.3800
213.77,	1.3800
214.43,	1.3800
215.08,	1.3900
215.74,	1.4000
216.39,	1.4000
217.04,	1.4100
217.70,	1.4100
218.35,	1.4100
219.01,	1.4200
219.66,	1.4300
220.32,	1.4300
220.97,	1.4300
221.62,	1.4300
222.28,	1.4400
222.93,	1.4400
223.59,	1.4600
224.24,	1.4600
224.89,	1.4700
225.55,	1.4700
226.20,	1.4700
226.85,	1.4800
227.51,	1.4800
228.16,	1.4900
228.81,	1.5000
229.47,	1.5100
230.12,	1.5100
230.78,	1.5200
231.43,	1.5200
232.08,	1.5300
232.74,	1.5400
233.39,	1.5400
234.04,	1.5500
234.69,	1.5600
235.35,	1.5700
236.00,	1.5700
236.65,	1.5800
237.31,	1.5900
237.96,	1.5900
238.61,	1.5900
239.27,	1.5900
239.92,	1.5900
240.57,	1.5900
241.22,	1.6000
241.88,	1.6000
242.53,	1.6000
243.18,	1.6100
243.83,	1.6100
244.49,	1.6100
245.14,	1.6100
245.79,	1.6100
246.44,	1.6200
247.10,	1.6200
247.75,	1.6200
248.40,	1.6300
249.05,	1.6300
249.70,	1.6300
250.36,	1.6300
251.01,	1.6300
251.66,	1.6300
252.31,	1.6300
252.96,	1.6400
253.62,	1.6300
254.27,	1.6300
254.92,	1.6300
255.57,	1.6300
256.22,	1.6300
256.88,	1.6400
257.53,	1.6500
258.18,	1.6600
258.83,	1.6600
259.48,	1.6700
260.13,	1.6700
260.78,	1.6700
261.44,	1.6800
262.09,	1.6900
262.74,	1.6900
263.39,	1.7000
264.04,	1.7000
264.69,	1.7000
265.34,	1.7000
265.99,	1.7100
266.64,	1.7000
267.29,	1.7000
267.95,	1.7000
268.60,	1.7100
269.25,	1.7100
269.90,	1.7100
270.55,	1.7100
271.20,	1.7100
271.85,	1.7100
272.50,	1.7100
273.15,	1.7200
273.80,	1.7200
274.45,	1.7200
275.10,	1.7200
275.75,	1.7200
276.40,	1.7200
277.05,	1.7200
277.70,	1.7200
278.35,	1.7300
279.00,	1.7300
279.65,	1.7300
280.30,	1.7300
280.95,	1.7300
281.60,	1.7400
282.25,	1.7400
282.90,	1.7400
283.55,	1.7500
284.20,	1.7400
284.85,	1.7400
285.50,	1.7400
286.15,	1.7400
286.80,	1.7500
287.45,	1.7500
288.10,	1.7400
288.75,	1.7400
289.40,	1.7500
290.05,	1.7500
290.70,	1.7500
291.35,	1.7500
292.00,	1.7500
292.64,	1.7500
293.29,	1.7500
293.94,	1.7600
294.59,	1.7600
295.24,	1.7600
295.89,	1.7600
296.54,	1.7600
297.19,	1.7600
297.84,	1.7600
298.49,	1.7600
299.13,	1.7600
299.78,	1.7600
300.43,	1.7600
301.08,	1.7700
301.73,	1.7700
302.38,	1.7700
303.02,	1.7700
303.67,	1.7700
304.32,	1.7700
304.97,	1.7700
305.62,	1.7700
306.27,	1.7700
306.91,	1.7700
307.56,	1.7800
308.21,	1.7800
308.86,	1.7800
309.51,	1.7800
310.15,	1.7800
310.80,	1.7800
311.45,	1.7800
312.10,	1.7800
312.75,	1.7800
313.39,	1.7800
314.04,	1.7800
314.69,	1.7800
315.34,	1.7800
315.98,	1.7800
316.63,	1.7800
317.28,	1.7800
317.93,	1.7800
318.57,	1.7800
319.22,	1.7800
319.87,	1.7900
320.52,	1.7800
321.16,	1.7800
321.81,	1.7800
322.46,	1.7800
