Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 02/04/2017,	Time = 10:31,	
Latitude = 39 56.26  S,	Longitude = 011 35.26  E
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 252,	Wind Speed = 39.30
Dry Bulb Temp = 11.30,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
0.67,	13.3100
1.34,	13.5900
2.01,	13.6800
2.68,	13.6800
3.34,	13.7000
4.01,	13.7300
4.68,	13.7300
5.35,	13.7300
6.02,	13.7500
6.69,	13.7400
7.36,	13.7300
8.03,	13.7300
8.69,	13.7300
9.36,	13.7300
10.03,	13.7300
10.70,	13.7300
11.37,	13.7100
12.04,	13.7300
12.70,	13.7300
13.37,	13.7300
14.04,	13.7300
14.71,	13.7300
15.38,	13.7400
16.05,	13.7400
16.71,	13.7300
17.38,	13.7300
18.05,	13.7300
18.72,	13.7300
19.38,	13.7300
20.05,	13.7300
20.72,	13.7300
21.39,	13.7400
22.06,	13.7300
22.72,	13.7300
23.39,	13.7400
24.06,	13.7300
24.73,	13.7300
25.39,	13.7200
26.06,	13.7100
26.73,	13.7100
27.40,	13.6900
28.06,	13.6900
28.73,	13.6900
29.40,	13.6700
30.06,	13.6400
30.73,	13.5900
31.40,	13.4300
32.06,	13.1200
32.73,	12.8900
33.40,	12.7500
34.07,	12.6600
34.73,	12.5700
35.40,	12.5100
36.07,	12.4800
36.73,	12.4600
37.40,	12.4500
38.07,	12.4400
38.73,	12.4300
39.40,	12.4200
40.06,	12.4100
40.73,	12.4000
41.40,	12.3800
42.06,	12.3400
42.73,	12.3200
43.40,	12.3000
44.06,	12.2800
44.73,	12.2600
45.39,	12.2400
46.06,	12.2600
46.73,	12.2800
47.39,	12.3000
48.06,	12.3200
48.72,	12.3100
49.39,	12.2600
50.06,	12.1700
50.72,	12.0700
51.39,	11.9700
52.05,	11.9200
52.72,	11.9000
53.38,	11.9000
54.05,	11.8600
54.71,	11.7900
55.38,	11.7300
56.05,	11.6900
56.71,	11.6700
57.38,	11.6600
58.04,	11.6400
58.71,	11.5700
59.37,	11.5100
60.04,	11.4700
60.70,	11.4600
61.37,	11.4500
62.03,	11.4500
62.70,	11.4500
63.36,	11.4400
64.03,	11.4400
64.69,	11.4600
65.36,	11.4700
66.02,	11.4500
66.69,	11.4200
67.35,	11.4100
68.01,	11.4300
68.68,	11.4700
69.34,	11.5000
70.01,	11.5300
70.67,	11.5400
71.34,	11.5500
72.00,	11.5700
72.66,	11.5600
73.33,	11.5600
73.99,	11.5600
74.66,	11.5600
75.32,	11.5600
75.98,	11.5500
76.65,	11.5500
77.31,	11.5300
77.98,	11.5100
78.64,	11.5000
79.30,	11.4900
79.97,	11.4900
80.63,	11.4700
81.30,	11.4400
81.96,	11.4100
82.62,	11.3700
83.29,	11.3500
83.95,	11.3300
84.61,	11.3000
85.28,	11.2900
85.94,	11.2700
86.60,	11.2400
87.27,	11.2200
87.93,	11.2100
88.59,	11.2000
89.26,	11.1900
89.92,	11.1800
90.58,	11.1700
91.24,	11.1600
91.91,	11.1500
92.57,	11.1300
93.23,	11.1200
93.90,	11.1000
94.56,	11.0900
95.22,	11.0900
95.88,	11.0900
96.55,	11.0800
97.21,	11.0700
97.87,	11.0600
98.53,	11.0500
99.20,	11.0400
99.86,	11.0300
100.52,	11.0300
101.18,	11.0300
101.85,	11.0300
102.51,	11.0300
103.17,	11.0600
103.83,	11.1000
104.49,	11.1300
105.16,	11.1500
105.82,	11.1500
106.48,	11.1700
107.14,	11.2000
107.80,	11.2200
108.47,	11.2400
109.13,	11.2500
109.79,	11.2400
110.45,	11.2200
111.11,	11.2000
111.77,	11.1700
112.44,	11.1400
113.10,	11.1200
113.76,	11.1200
114.42,	11.1100
115.08,	11.1000
115.74,	11.0700
116.40,	11.0600
117.06,	11.0400
117.73,	11.0200
118.39,	10.9900
119.05,	10.9700
119.71,	10.9400
120.37,	10.9300
121.03,	10.9200
121.69,	10.9100
122.35,	10.9100
123.01,	10.8900
123.67,	10.8200
124.33,	10.7600
125.00,	10.7300
125.66,	10.6900
126.32,	10.6600
126.98,	10.6200
127.64,	10.5900
128.30,	10.5700
128.96,	10.5100
129.62,	10.4600
130.28,	10.4000
130.94,	10.3700
131.60,	10.3600
132.26,	10.3500
132.92,	10.3500
133.58,	10.3500
134.24,	10.3500
134.90,	10.3600
135.56,	10.3500
136.22,	10.3500
136.88,	10.3400
137.54,	10.3500
138.20,	10.3400
138.86,	10.3300
139.52,	10.3300
140.18,	10.3200
140.84,	10.3100
141.50,	10.3100
142.16,	10.3300
142.82,	10.3400
143.48,	10.3400
144.14,	10.3200
144.79,	10.3000
145.45,	10.2800
146.11,	10.2700
146.77,	10.2700
147.43,	10.2700
148.09,	10.2700
148.75,	10.2700
149.41,	10.2500
150.07,	10.2100
150.73,	10.1800
151.39,	10.1600
152.04,	10.1500
152.70,	10.1400
153.36,	10.1300
154.02,	10.1200
154.68,	10.1000
155.34,	10.0900
156.00,	10.0800
156.65,	10.0700
157.31,	10.0700
157.97,	10.0600
158.63,	10.0600
159.29,	10.0600
159.95,	10.0600
160.60,	10.0600
161.26,	10.0700
161.92,	10.0800
162.58,	10.0800
163.24,	10.0900
163.90,	10.1000
164.55,	10.1100
165.21,	10.1200
165.87,	10.1200
166.53,	10.1300
167.18,	10.1400
167.84,	10.1600
168.50,	10.1600
169.16,	10.1500
169.82,	10.1400
170.47,	10.1600
171.13,	10.2000
171.79,	10.2500
172.44,	10.3200
173.10,	10.4000
173.76,	10.4400
174.42,	10.4500
175.07,	10.4500
175.73,	10.4500
176.39,	10.4400
177.05,	10.4200
177.70,	10.3900
178.36,	10.3400
179.02,	10.3100
179.67,	10.3000
180.33,	10.2900
180.99,	10.2600
181.64,	10.2400
182.30,	10.2300
182.96,	10.2300
183.61,	10.2200
184.27,	10.2100
184.93,	10.1800
185.58,	10.1300
186.24,	10.0800
186.90,	10.0400
187.55,	10.0300
188.21,	10.0400
188.87,	10.0600
189.52,	10.1200
190.18,	10.1700
190.83,	10.1800
191.49,	10.1800
192.15,	10.1800
192.80,	10.1900
193.46,	10.1800
194.11,	10.1500
194.77,	10.1100
195.43,	10.0500
196.08,	9.9700
196.74,	9.9200
197.39,	9.8900
198.05,	9.8900
198.70,	9.8900
199.36,	9.8800
200.02,	9.8900
200.67,	9.8900
201.33,	9.8800
201.98,	9.8800
202.64,	9.8700
203.29,	9.8500
203.95,	9.7900
204.60,	9.7300
205.26,	9.7000
205.91,	9.6900
206.57,	9.6900
207.22,	9.6900
207.88,	9.6800
208.53,	9.6800
209.19,	9.6700
209.84,	9.6600
210.50,	9.6700
211.15,	9.6800
211.81,	9.6800
212.46,	9.6800
213.12,	9.6500
213.77,	9.6400
214.43,	9.6200
215.08,	9.5700
215.74,	9.5300
216.39,	9.5000
217.04,	9.4800
217.70,	9.4700
218.35,	9.4700
219.01,	9.4700
219.66,	9.4700
220.32,	9.4700
220.97,	9.4600
221.62,	9.4500
222.28,	9.4500
222.93,	9.4500
223.59,	9.4400
224.24,	9.4300
224.89,	9.4000
225.55,	9.3900
226.20,	9.3800
226.85,	9.3700
227.51,	9.3800
228.16,	9.3800
228.81,	9.3800
229.47,	9.3700
230.12,	9.3600
230.78,	9.3600
231.43,	9.3500
232.08,	9.3400
232.74,	9.3500
233.39,	9.3400
234.04,	9.3300
234.69,	9.3300
235.35,	9.3200
236.00,	9.3000
236.65,	9.2700
237.31,	9.2500
237.96,	9.2200
238.61,	9.2000
239.27,	9.1900
239.92,	9.1600
240.57,	9.1400
241.22,	9.1200
241.88,	9.1200
242.53,	9.1300
243.18,	9.1300
243.83,	9.1300
244.49,	9.1300
245.14,	9.1300
245.79,	9.1200
246.44,	9.1100
247.10,	9.1000
247.75,	9.0900
248.40,	9.0900
249.05,	9.0900
249.70,	9.1000
250.36,	9.1100
251.01,	9.1100
251.66,	9.1200
252.31,	9.1300
252.96,	9.1500
253.62,	9.1700
254.27,	9.1800
254.92,	9.1800
255.57,	9.1900
256.22,	9.1700
256.88,	9.1700
257.53,	9.1500
258.18,	9.1500
258.83,	9.1400
259.48,	9.1400
260.13,	9.1400
260.78,	9.1600
261.44,	9.1700
262.09,	9.1800
262.74,	9.1800
263.39,	9.1900
264.04,	9.2000
264.69,	9.2100
265.34,	9.2100
265.99,	9.2200
266.64,	9.2200
267.29,	9.2300
267.95,	9.2300
268.60,	9.2300
269.25,	9.2400
269.90,	9.2400
270.55,	9.2400
271.20,	9.2400
271.85,	9.2400
272.50,	9.2400
273.15,	9.2300
273.80,	9.2200
274.45,	9.2200
275.10,	9.2200
275.75,	9.2100
276.40,	9.2100
277.05,	9.2000
277.70,	9.1800
278.35,	9.1600
279.00,	9.1500
279.65,	9.1300
280.30,	9.1200
280.95,	9.1200
281.60,	9.1200
282.25,	9.1100
282.90,	9.1000
283.55,	9.0900
284.20,	9.0900
284.85,	9.0800
285.50,	9.0700
286.15,	9.0600
286.80,	9.0300
287.45,	9.0100
288.10,	8.9900
288.75,	8.9600
289.40,	8.9400
290.05,	8.9300
290.70,	8.9200
291.35,	8.9200
292.00,	8.9100
292.64,	8.9000
293.29,	8.8900
293.94,	8.8800
294.59,	8.8700
295.24,	8.8600
295.89,	8.8500
296.54,	8.8400
297.19,	8.8300
297.84,	8.8200
298.49,	8.8100
299.13,	8.7900
299.78,	8.7700
300.43,	8.7500
301.08,	8.7200
301.73,	8.7000
302.38,	8.6700
303.02,	8.6300
303.67,	8.6000
304.32,	8.5800
304.97,	8.5500
305.62,	8.5200
306.27,	8.4900
306.91,	8.4600
307.56,	8.4400
308.21,	8.4200
308.86,	8.4000
309.51,	8.3800
310.15,	8.3800
310.80,	8.3700
311.45,	8.3600
312.10,	8.3600
312.75,	8.3600
313.39,	8.3600
314.04,	8.3600
314.69,	8.3600
315.34,	8.3500
315.98,	8.3400
316.63,	8.3300
317.28,	8.3200
317.93,	8.3000
318.57,	8.2800
319.22,	8.2600
319.87,	8.2600
320.52,	8.2600
321.16,	8.2600
321.81,	8.2500
322.46,	8.2300
323.10,	8.2100
323.75,	8.2000
324.40,	8.1900
325.04,	8.1800
325.69,	8.1800
326.34,	8.1700
326.99,	8.1700
327.63,	8.1700
328.28,	8.1600
328.93,	8.1500
329.57,	8.1500
