Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 12/06/2016,	Time = 08:02,	
Latitude = 53 11.93  S,	Longitude = 000 00.27  W
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 238,	Wind Speed = 8.70
Dry Bulb Temp = -0.50,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
0.67,	0.3700
1.34,	0.1400
2.01,	0.1100
2.68,	0.1900
3.34,	0.4800
4.01,	0.7600
4.68,	1.1100
5.35,	1.3600
6.02,	1.5500
6.69,	1.7200
7.36,	1.8600
8.03,	1.9400
8.69,	2.0000
9.36,	2.1000
10.03,	2.2100
10.70,	2.2900
11.37,	2.3600
12.04,	2.4100
12.70,	2.4700
13.37,	2.5300
14.04,	2.5800
14.71,	2.6200
15.38,	2.6500
16.05,	2.6700
16.71,	2.7000
17.38,	2.7200
18.05,	2.7600
18.72,	2.8500
19.38,	2.9000
20.05,	2.9300
20.72,	2.9500
21.39,	2.9600
22.06,	2.9600
22.72,	2.9600
23.39,	2.9800
24.06,	3.0000
24.73,	3.0000
25.39,	3.0100
26.06,	3.0100
26.73,	3.0100
27.40,	3.0300
28.06,	3.0900
28.73,	3.1400
29.40,	3.1600
30.06,	3.1700
30.73,	3.1600
31.40,	3.1800
32.06,	3.2200
32.73,	3.3300
33.40,	3.4000
34.07,	3.4300
34.73,	3.4500
35.40,	3.4500
36.07,	3.4500
36.73,	3.4500
37.40,	3.4400
38.07,	3.4300
38.73,	3.4400
39.40,	3.4600
40.06,	3.4600
40.73,	3.4500
41.40,	3.4400
42.06,	3.4300
42.73,	3.4300
43.40,	3.4200
44.06,	3.4300
44.73,	3.4300
45.39,	3.4400
46.06,	3.4300
46.73,	3.4200
47.39,	3.4200
48.06,	3.4200
48.72,	3.4200
49.39,	3.4200
50.06,	3.4200
50.72,	3.4200
51.39,	3.4200
52.05,	3.4100
52.72,	3.4100
53.38,	3.4000
54.05,	3.4000
54.71,	3.4000
55.38,	3.4000
56.05,	3.4000
56.71,	3.3900
57.38,	3.3800
58.04,	3.3800
58.71,	3.3800
59.37,	3.3700
60.04,	3.3600
60.70,	3.3600
61.37,	3.3500
62.03,	3.3500
62.70,	3.3400
63.36,	3.3400
64.03,	3.3400
64.69,	3.3400
65.36,	3.3300
66.02,	3.3300
66.69,	3.3300
67.35,	3.3200
68.01,	3.3200
68.68,	3.3100
69.34,	3.3000
70.01,	3.2900
70.67,	3.2800
71.34,	3.2800
72.00,	3.2700
72.66,	3.2700
73.33,	3.2600
73.99,	3.2500
74.66,	3.2500
75.32,	3.2400
75.98,	3.2400
76.65,	3.2300
77.31,	3.2200
77.98,	3.2000
78.64,	3.1800
79.30,	3.1800
79.97,	3.1800
80.63,	3.1800
81.30,	3.1600
81.96,	3.1400
82.62,	3.1400
83.29,	3.1400
83.95,	3.1400
84.61,	3.1300
85.28,	3.1300
85.94,	3.1300
86.60,	3.1300
87.27,	3.1300
87.93,	3.1200
88.59,	3.1200
89.26,	3.1200
89.92,	3.1100
90.58,	3.1100
91.24,	3.1100
91.91,	3.1100
92.57,	3.1100
93.23,	3.1100
93.90,	3.1100
94.56,	3.1100
95.22,	3.1000
95.88,	3.1000
96.55,	3.1000
97.21,	3.0900
97.87,	3.0900
98.53,	3.0900
99.20,	3.0800
99.86,	3.0900
100.52,	3.0700
101.18,	3.0500
101.85,	3.0200
102.51,	3.0000
103.17,	3.0000
103.83,	3.0000
104.49,	2.9900
105.16,	2.9900
105.82,	2.9900
106.48,	2.9900
107.14,	2.9900
107.80,	2.9900
108.47,	2.9900
109.13,	2.9800
109.79,	2.9800
110.45,	2.9800
111.11,	2.9800
111.77,	2.9800
112.44,	2.9700
113.10,	2.9700
113.76,	2.9700
114.42,	2.9700
115.08,	2.9700
115.74,	2.9700
116.40,	2.9700
117.06,	2.9700
117.73,	2.9700
118.39,	2.9700
119.05,	2.9600
119.71,	2.9200
120.37,	2.8900
121.03,	2.8800
121.69,	2.8800
122.35,	2.8800
123.01,	2.8800
123.67,	2.8900
124.33,	2.8800
125.00,	2.8800
125.66,	2.8800
126.32,	2.8900
126.98,	2.8900
127.64,	2.9000
128.30,	2.9000
128.96,	2.8800
129.62,	2.8600
130.28,	2.8300
130.94,	2.8100
131.60,	2.8000
132.26,	2.8000
132.92,	2.8000
133.58,	2.8000
134.24,	2.8000
134.90,	2.8100
135.56,	2.8100
136.22,	2.8000
136.88,	2.8000
137.54,	2.8000
138.20,	2.8000
138.86,	2.7900
139.52,	2.7800
140.18,	2.7600
140.84,	2.7600
141.50,	2.7800
142.16,	2.8000
142.82,	2.8100
143.48,	2.8100
144.14,	2.8200
144.79,	2.8200
145.45,	2.8200
146.11,	2.8300
146.77,	2.8500
147.43,	2.8600
148.09,	2.8700
148.75,	2.8700
149.41,	2.8700
150.07,	2.8700
150.73,	2.8700
151.39,	2.8900
152.04,	2.8900
152.70,	2.9000
153.36,	2.9000
154.02,	2.9200
154.68,	2.9300
155.34,	2.9200
156.00,	2.9300
156.65,	2.9300
157.31,	2.9600
157.97,	2.9900
158.63,	3.0100
159.29,	3.0200
159.95,	3.0400
160.60,	3.0600
161.26,	3.0900
161.92,	3.1100
162.58,	3.1300
163.24,	3.1500
163.90,	3.1500
164.55,	3.1700
165.21,	3.1800
165.87,	3.1900
166.53,	3.2000
167.18,	3.2100
167.84,	3.2200
168.50,	3.2200
169.16,	3.2300
169.82,	3.2300
170.47,	3.2300
171.13,	3.2400
171.79,	3.2500
172.44,	3.2500
173.10,	3.2600
173.76,	3.2900
174.42,	3.3600
175.07,	3.4200
175.73,	3.4400
176.39,	3.4600
177.05,	3.4600
177.70,	3.4700
178.36,	3.4800
179.02,	3.4800
179.67,	3.4900
180.33,	3.5100
180.99,	3.5700
181.64,	3.6400
182.30,	3.6800
182.96,	3.6900
183.61,	3.7000
184.27,	3.7100
184.93,	3.7100
185.58,	3.7200
186.24,	3.7200
186.90,	3.7300
187.55,	3.7200
188.21,	3.7200
188.87,	3.7400
189.52,	3.7400
190.18,	3.7500
190.83,	3.7600
191.49,	3.7800
192.15,	3.8000
192.80,	3.8300
193.46,	3.8500
194.11,	3.8800
194.77,	3.8900
195.43,	3.9000
196.08,	3.9000
196.74,	3.9100
197.39,	3.9200
198.05,	3.9400
198.70,	3.9700
199.36,	3.9900
200.02,	4.0000
200.67,	4.0000
201.33,	4.0100
201.98,	4.0100
202.64,	4.0200
203.29,	4.0200
203.95,	4.0300
204.60,	4.0300
205.26,	4.0300
205.91,	4.0300
206.57,	4.0300
207.22,	4.0200
207.88,	4.0200
208.53,	4.0300
209.19,	4.0300
209.84,	4.0300
210.50,	4.0200
211.15,	4.0200
211.81,	4.0300
212.46,	4.0300
213.12,	4.0300
213.77,	4.0200
214.43,	4.0300
215.08,	4.0200
215.74,	4.0300
216.39,	4.0200
217.04,	4.0300
217.70,	4.0300
218.35,	4.0400
219.01,	4.0500
219.66,	4.0600
220.32,	4.0700
220.97,	4.0800
221.62,	4.0800
222.28,	4.0900
222.93,	4.0900
223.59,	4.1000
224.24,	4.1000
224.89,	4.1100
225.55,	4.1100
226.20,	4.1100
226.85,	4.1100
227.51,	4.1200
228.16,	4.1200
228.81,	4.1200
229.47,	4.1400
230.12,	4.1500
230.78,	4.1600
231.43,	4.1700
232.08,	4.1700
232.74,	4.1700
233.39,	4.1800
234.04,	4.2100
234.69,	4.2200
235.35,	4.2300
236.00,	4.2300
236.65,	4.2300
237.31,	4.2400
237.96,	4.2500
238.61,	4.2600
239.27,	4.2600
239.92,	4.2800
240.57,	4.2900
241.22,	4.3100
241.88,	4.3400
242.53,	4.3600
243.18,	4.3700
243.83,	4.3700
244.49,	4.3800
245.14,	4.3800
245.79,	4.3800
246.44,	4.3800
247.10,	4.3900
247.75,	4.4000
248.40,	4.4000
249.05,	4.4100
249.70,	4.4200
250.36,	4.4200
251.01,	4.4300
251.66,	4.4400
252.31,	4.4500
252.96,	4.4500
253.62,	4.4600
254.27,	4.4700
254.92,	4.4800
255.57,	4.4900
256.22,	4.4900
256.88,	4.4900
257.53,	4.5000
258.18,	4.5000
258.83,	4.5100
259.48,	4.5300
260.13,	4.5400
260.78,	4.5500
261.44,	4.5600
262.09,	4.5600
262.74,	4.5700
263.39,	4.5700
264.04,	4.5700
264.69,	4.5700
265.34,	4.5700
265.99,	4.5700
266.64,	4.5700
267.29,	4.5700
267.95,	4.5700
268.60,	4.5700
269.25,	4.5700
269.90,	4.5700
270.55,	4.5700
271.20,	4.5700
271.85,	4.5700
272.50,	4.5700
273.15,	4.5700
273.80,	4.5700
274.45,	4.5700
275.10,	4.5700
275.75,	4.5800
276.40,	4.5700
277.05,	4.5800
277.70,	4.5800
278.35,	4.5800
279.00,	4.5900
279.65,	4.5900
280.30,	4.5900
280.95,	4.5900
281.60,	4.6000
282.25,	4.6000
282.90,	4.6100
283.55,	4.6200
284.20,	4.6300
284.85,	4.6300
285.50,	4.6300
286.15,	4.6300
286.80,	4.6400
287.45,	4.6400
288.10,	4.6400
288.75,	4.6500
289.40,	4.6500
290.05,	4.6500
290.70,	4.6500
291.35,	4.6600
292.00,	4.6600
292.64,	4.6700
293.29,	4.6700
293.94,	4.6700
294.59,	4.6700
295.24,	4.6800
295.89,	4.6700
296.54,	4.6700
297.19,	4.6700
297.84,	4.6700
298.49,	4.6800
299.13,	4.6800
299.78,	4.6900
300.43,	4.6900
301.08,	4.6900
301.73,	4.6900
302.38,	4.6900
303.02,	4.7000
303.67,	4.7000
304.32,	4.7000
304.97,	4.7100
305.62,	4.7100
306.27,	4.7100
306.91,	4.7200
307.56,	4.7200
308.21,	4.7200
308.86,	4.7200
309.51,	4.7200
310.15,	4.7200
310.80,	4.7200
311.45,	4.7300
312.10,	4.7300
312.75,	4.7300
313.39,	4.7300
314.04,	4.7400
314.69,	4.7400
315.34,	4.7300
315.98,	4.7400
316.63,	4.7400
317.28,	4.7400
317.93,	4.7400
318.57,	4.7400
319.22,	4.7400
319.87,	4.7400
320.52,	4.7400
321.16,	4.7300
321.81,	4.7400
322.46,	4.7300
323.10,	4.7300
323.75,	4.7300
324.40,	4.7300
325.04,	4.7300
325.69,	4.7400
326.34,	4.7400
326.99,	4.7300
327.63,	4.7400
328.28,	4.7400
328.93,	4.7400
329.57,	4.7400
