Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 12/04/2016,	Time = 09:58,	
Latitude = 45 29.03  S,	Longitude = 060 06.79  E
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 301,	Wind Speed = 40.20
Dry Bulb Temp = 8.30,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
196.08,	3.5900
196.74,	3.5900
197.39,	3.5900
198.05,	3.5900
198.70,	3.5800
199.36,	3.5800
200.02,	3.5800
200.67,	3.5800
201.33,	3.5800
201.98,	3.5800
202.64,	3.5700
203.29,	3.5700
203.95,	3.5700
204.60,	3.5600
205.26,	3.5600
205.91,	3.5600
206.57,	3.5600
207.22,	3.5500
207.88,	3.5500
208.53,	3.5400
209.19,	3.5400
209.84,	3.5500
210.50,	3.5400
211.15,	3.5400
211.81,	3.5400
212.46,	3.5400
213.12,	3.5300
213.77,	3.5300
214.43,	3.5200
215.08,	3.5000
215.74,	3.5000
216.39,	3.4900
217.04,	3.4900
217.70,	3.4900
218.35,	3.4900
219.01,	3.4800
219.66,	3.4800
220.32,	3.4700
220.97,	3.4700
221.62,	3.4700
222.28,	3.4600
222.93,	3.4600
223.59,	3.4500
224.24,	3.4400
224.89,	3.4200
225.55,	3.4100
226.20,	3.4100
226.85,	3.4100
227.51,	3.4100
228.16,	3.4100
228.81,	3.4100
229.47,	3.4100
230.12,	3.4100
230.78,	3.4100
231.43,	3.4200
232.08,	3.4200
232.74,	3.4200
233.39,	3.4200
234.04,	3.4200
234.69,	3.4100
235.35,	3.4100
236.00,	3.4100
236.65,	3.4000
237.31,	3.4000
237.96,	3.4000
238.61,	3.3800
239.27,	3.3700
239.92,	3.3600
240.57,	3.3500
241.22,	3.3400
241.88,	3.3200
242.53,	3.3200
243.18,	3.3200
243.83,	3.3200
244.49,	3.3000
245.14,	3.2700
245.79,	3.2600
246.44,	3.2700
247.10,	3.3000
247.75,	3.3500
248.40,	3.4200
249.05,	3.4700
249.70,	3.4700
250.36,	3.4700
251.01,	3.4700
251.66,	3.4800
252.31,	3.4800
252.96,	3.4700
253.62,	3.4700
254.27,	3.4700
254.92,	3.4700
255.57,	3.4700
256.22,	3.4700
256.88,	3.4800
257.53,	3.4900
258.18,	3.5000
258.83,	3.5000
259.48,	3.5100
260.13,	3.5100
260.78,	3.5100
261.44,	3.5100
262.09,	3.5100
262.74,	3.5200
263.39,	3.5200
264.04,	3.5200
264.69,	3.5200
265.34,	3.5200
265.99,	3.5300
266.64,	3.5500
267.29,	3.5700
267.95,	3.5600
268.60,	3.5400
269.25,	3.5400
269.90,	3.5600
270.55,	3.6000
271.20,	3.6200
271.85,	3.6300
272.50,	3.6400
273.15,	3.6500
273.80,	3.6500
274.45,	3.6400
275.10,	3.6400
275.75,	3.6400
276.40,	3.6400
277.05,	3.6300
277.70,	3.6100
278.35,	3.5600
279.00,	3.5000
279.65,	3.4700
280.30,	3.4600
280.95,	3.4500
281.60,	3.4500
282.25,	3.4500
282.90,	3.4400
283.55,	3.4400
284.20,	3.4400
284.85,	3.4300
285.50,	3.4300
286.15,	3.4500
286.80,	3.4600
287.45,	3.4600
288.10,	3.4500
288.75,	3.4600
289.40,	3.4600
290.05,	3.4700
290.70,	3.4700
291.35,	3.4800
292.00,	3.4800
292.64,	3.4800
293.29,	3.4800
293.94,	3.4800
294.59,	3.4800
295.24,	3.4800
295.89,	3.4800
296.54,	3.4800
297.19,	3.4800
297.84,	3.4800
298.49,	3.4800
299.13,	3.4800
299.78,	3.4800
300.43,	3.4700
301.08,	3.4700
301.73,	3.4700
302.38,	3.4700
303.02,	3.4700
303.67,	3.4700
304.32,	3.4800
304.97,	3.4800
305.62,	3.4800
306.27,	3.4800
306.91,	3.4800
307.56,	3.4800
308.21,	3.4800
308.86,	3.4800
309.51,	3.4800
310.15,	3.4700
310.80,	3.4700
311.45,	3.4700
312.10,	3.4800
312.75,	3.4800
313.39,	3.4900
314.04,	3.4900
314.69,	3.5000
315.34,	3.5000
315.98,	3.5100
316.63,	3.5200
317.28,	3.5300
317.93,	3.5300
318.57,	3.5400
319.22,	3.5400
319.87,	3.5500
320.52,	3.5500
321.16,	3.5400
321.81,	3.5100
322.46,	3.4900
323.10,	3.4900
323.75,	3.4800
324.40,	3.4800
325.04,	3.4800
325.69,	3.4800
326.34,	3.4800
326.99,	3.4700
327.63,	3.4700
328.28,	3.4700
328.93,	3.4700
329.57,	3.4800
330.22,	3.4700
330.86,	3.4700
331.51,	3.4800
332.16,	3.4700
332.80,	3.4700
333.45,	3.4800
334.10,	3.4700
334.74,	3.4800
335.39,	3.4800
336.03,	3.4800
336.68,	3.4800
337.33,	3.4800
337.97,	3.4800
338.62,	3.4800
339.26,	3.4700
339.91,	3.4700
340.56,	3.4700
341.20,	3.4700
341.85,	3.4700
342.49,	3.4600
343.14,	3.4600
343.78,	3.4600
344.43,	3.4500
345.08,	3.4600
345.72,	3.4600
346.37,	3.4500
347.01,	3.4400
347.66,	3.4400
348.30,	3.4400
348.95,	3.4400
349.59,	3.4500
350.24,	3.4500
350.88,	3.4500
351.53,	3.4500
352.17,	3.4500
352.82,	3.4500
353.46,	3.4500
354.11,	3.4500
354.75,	3.4500
355.40,	3.4500
356.04,	3.4500
356.69,	3.4600
357.33,	3.4600
357.98,	3.4600
358.62,	3.4600
359.27,	3.4600
359.91,	3.4600
360.55,	3.4600
361.20,	3.4600
361.84,	3.4500
362.49,	3.4600
363.13,	3.4500
363.78,	3.4500
364.42,	3.4600
365.06,	3.4600
365.71,	3.4600
366.35,	3.4600
367.00,	3.4500
367.64,	3.4500
368.28,	3.4500
368.93,	3.4500
369.57,	3.4500
370.22,	3.4500
370.86,	3.4500
371.50,	3.4500
372.15,	3.4500
372.79,	3.4500
373.43,	3.4400
374.08,	3.4400
374.72,	3.4400
375.36,	3.4300
376.01,	3.4300
376.65,	3.4300
377.29,	3.4300
377.94,	3.4200
378.58,	3.4100
379.22,	3.4100
379.87,	3.4000
380.51,	3.4000
381.15,	3.4000
381.79,	3.4000
382.44,	3.4000
383.08,	3.4000
383.72,	3.4000
384.37,	3.4000
385.01,	3.4000
385.65,	3.3900
386.29,	3.3900
386.94,	3.3900
387.58,	3.3900
388.22,	3.3800
388.86,	3.3800
389.51,	3.3800
390.15,	3.3800
390.79,	3.3700
391.43,	3.3700
392.08,	3.3700
392.72,	3.3700
393.36,	3.3700
394.00,	3.3600
394.64,	3.3600
395.29,	3.3500
395.93,	3.3400
396.57,	3.3300
397.21,	3.3300
397.85,	3.3300
398.50,	3.3300
399.14,	3.3200
399.78,	3.3200
400.42,	3.3200
401.06,	3.3100
401.70,	3.3100
402.34,	3.3100
402.99,	3.3100
403.63,	3.3100
404.27,	3.3100
404.91,	3.3100
405.55,	3.3100
406.19,	3.3100
406.83,	3.3000
407.48,	3.3000
408.12,	3.3100
408.76,	3.3100
409.40,	3.3100
410.04,	3.3000
410.68,	3.3000
411.32,	3.2900
411.96,	3.2900
412.60,	3.2900
413.24,	3.2900
413.88,	3.2900
414.52,	3.2900
415.17,	3.2800
415.81,	3.2800
416.45,	3.2700
417.09,	3.2700
417.73,	3.2700
418.37,	3.2700
419.01,	3.2600
419.65,	3.2600
420.29,	3.2600
420.93,	3.2600
421.57,	3.2500
422.21,	3.2500
422.85,	3.2400
423.49,	3.2400
424.13,	3.2300
424.77,	3.2200
425.41,	3.2200
426.05,	3.2200
426.69,	3.2200
427.33,	3.2200
427.97,	3.2200
428.61,	3.2200
429.25,	3.2100
429.89,	3.2100
430.53,	3.2100
431.17,	3.2000
431.80,	3.2000
432.44,	3.2000
433.08,	3.2000
433.72,	3.2000
434.36,	3.2000
435.00,	3.2000
435.64,	3.2000
436.28,	3.2000
436.92,	3.2000
437.56,	3.2000
438.20,	3.2000
438.84,	3.2000
439.47,	3.2000
440.11,	3.1900
440.75,	3.1900
441.39,	3.1900
442.03,	3.1900
442.67,	3.1800
443.31,	3.1800
443.95,	3.1800
444.58,	3.1800
445.22,	3.1800
445.86,	3.1800
446.50,	3.1700
447.14,	3.1600
447.78,	3.1600
448.41,	3.1600
449.05,	3.1600
449.69,	3.1600
450.33,	3.1500
450.97,	3.1500
451.60,	3.1500
452.24,	3.1500
452.88,	3.1500
453.52,	3.1500
454.16,	3.1500
454.79,	3.1500
455.43,	3.1600
456.07,	3.1600
456.71,	3.1600
457.35,	3.1600
457.98,	3.1600
458.62,	3.1600
459.26,	3.1600
459.90,	3.1600
460.53,	3.1600
461.17,	3.1600
461.81,	3.1600
462.44,	3.1600
463.08,	3.1500
463.72,	3.1500
464.36,	3.1500
464.99,	3.1500
465.63,	3.1400
466.27,	3.1400
466.90,	3.1400
467.54,	3.1400
468.18,	3.1400
468.81,	3.1400
469.45,	3.1400
470.09,	3.1400
470.72,	3.1400
471.36,	3.1300
472.00,	3.1300
472.63,	3.1300
473.27,	3.1300
473.91,	3.1300
474.54,	3.1300
475.18,	3.1300
475.82,	3.1300
476.45,	3.1300
477.09,	3.1300
477.73,	3.1200
478.36,	3.1200
479.00,	3.1200
479.63,	3.1200
480.27,	3.1200
480.91,	3.1100
481.54,	3.1100
482.18,	3.1100
482.81,	3.1100
483.45,	3.1100
484.08,	3.1000
484.72,	3.1000
485.36,	3.1000
485.99,	3.1000
486.63,	3.0900
487.26,	3.0900
487.90,	3.0900
488.53,	3.0800
489.17,	3.0800
489.80,	3.0700
490.44,	3.0700
491.07,	3.0700
491.71,	3.0700
492.34,	3.0700
492.98,	3.0700
493.62,	3.0600
494.25,	3.0500
494.89,	3.0500
495.52,	3.0500
496.15,	3.0500
496.79,	3.0500
497.42,	3.0400
498.06,	3.0400
498.69,	3.0400
499.33,	3.0400
499.96,	3.0400
500.60,	3.0400
501.23,	3.0400
501.87,	3.0300
502.50,	3.0300
503.14,	3.0300
503.77,	3.0300
504.40,	3.0300
505.04,	3.0300
505.67,	3.0300
506.31,	3.0300
506.94,	3.0300
507.57,	3.0200
508.21,	3.0200
508.84,	3.0200
509.48,	3.0200
510.11,	3.0200
510.74,	3.0200
511.38,	3.0200
512.01,	3.0200
512.65,	3.0200
513.28,	3.0200
513.91,	3.0100
514.55,	3.0100
515.18,	3.0100
515.81,	3.0100
516.45,	3.0100
517.08,	3.0100
517.71,	3.0100
518.35,	3.0000
518.98,	3.0000
519.61,	3.0000
520.25,	2.9900
520.88,	2.9900
521.51,	2.9900
522.15,	2.9900
522.78,	2.9900
523.41,	2.9900
524.04,	2.9900
524.68,	2.9800
525.31,	2.9800
525.94,	2.9800
526.58,	2.9800
527.21,	2.9700
527.84,	2.9700
528.47,	2.9700
529.11,	2.9700
529.74,	2.9700
530.37,	2.9700
531.00,	2.9700
531.64,	2.9700
532.27,	2.9700
532.90,	2.9700
533.53,	2.9700
534.17,	2.9700
534.80,	2.9700
535.43,	2.9700
536.06,	2.9700
536.69,	2.9700
537.33,	2.9700
537.96,	2.9700
538.59,	2.9700
539.22,	2.9700
539.85,	2.9700
540.48,	2.9700
541.12,	2.9800
541.75,	2.9700
542.38,	2.9800
543.01,	2.9700
543.64,	2.9800
544.27,	2.9700
544.91,	2.9700
545.54,	2.9700
546.17,	2.9700
546.80,	2.9700
547.43,	2.9700
548.06,	2.9600
548.69,	2.9600
549.32,	2.9600
549.95,	2.9600
550.59,	2.9600
551.22,	2.9500
551.85,	2.9500
552.48,	2.9500
553.11,	2.9500
553.74,	2.9500
554.37,	2.9500
555.00,	2.9500
555.63,	2.9500
556.26,	2.9400
556.89,	2.9400
557.52,	2.9400
558.15,	2.9400
558.78,	2.9400
559.42,	2.9400
560.05,	2.9400
560.68,	2.9400
561.31,	2.9400
561.94,	2.9400
562.57,	2.9400
563.20,	2.9400
563.83,	2.9400
564.46,	2.9400
565.09,	2.9400
565.72,	2.9300
566.35,	2.9300
566.98,	2.9200
567.61,	2.9200
568.24,	2.9100
568.87,	2.9100
569.50,	2.9100
570.12,	2.9100
570.75,	2.9100
571.38,	2.9100
572.01,	2.9000
572.64,	2.9100
573.27,	2.9100
573.90,	2.9100
574.53,	2.9100
575.16,	2.9100
575.79,	2.9100
576.42,	2.9100
577.05,	2.9100
577.68,	2.9100
578.31,	2.9100
578.93,	2.9100
579.56,	2.9100
580.19,	2.9100
580.82,	2.9100
581.45,	2.9100
582.08,	2.9100
582.71,	2.9100
583.34,	2.9100
583.97,	2.9100
584.59,	2.9100
585.22,	2.9100
585.85,	2.9100
586.48,	2.9100
587.11,	2.9100
587.74,	2.9100
588.36,	2.9100
588.99,	2.9100
589.62,	2.9100
590.25,	2.9100
590.88,	2.9100
591.50,	2.9000
592.13,	2.9000
592.76,	2.9100
593.39,	2.9000
594.02,	2.9100
594.64,	2.9100
595.27,	2.9000
595.90,	2.9000
596.53,	2.9000
597.16,	2.9000
597.78,	2.9000
598.41,	2.9000
599.04,	2.9000
599.67,	2.9000
600.29,	2.9000
600.92,	2.9000
601.55,	2.9000
602.18,	2.9000
602.80,	2.9000
603.43,	2.9000
604.06,	2.9000
604.68,	2.9000
605.31,	2.9000
605.94,	2.9000
606.57,	2.9100
607.19,	2.9200
607.82,	2.9200
608.45,	2.9300
609.07,	2.9300
609.70,	2.9400
610.33,	2.9400
610.95,	2.9400
611.58,	2.9500
612.21,	2.9500
612.83,	2.9500
613.46,	2.9600
614.09,	2.9600
614.71,	2.9600
615.34,	2.9600
615.97,	2.9600
616.59,	2.9600
617.22,	2.9600
617.84,	2.9600
618.47,	2.9600
619.10,	2.9500
619.72,	2.9500
620.35,	2.9500
